,P10144,O75509,P09038,O75144,P12544,P18627,P15692,Q9UQV4,P09382,P22301,P14210,Q92583,P20718,P09601,Q13241,P05231,Q16790,O43927,P10147,P39900,O76036,O00182,P32970,P01127,P35968,P01133,Q9BQ51,P42701,P09237,P07585,P13500,P50591,P09341,Q15389,P26842,P48023,P05113,P29965,P10747,P01730,Q02763,Q01151,P49763,Q14116,O95727,Q9NP84,P48061,Q8WXI7,P43489
C29ZT9U9Q.01,4.83759,7.17755,-0.78704,5.57948,6.66118,2.10653,8.60671,4.38591,7.32776,3.27269,10.34614,9.76493,4.93226,11.78693,7.23279,5.02088,4.87012,8.83935,9.24291,6.84031,3.42576,8.13076,4.82775,10.20346,8.74678,9.42266,2.20113,1.625,12.14114,4.60684,12.53481,8.48296,9.726,9.78695,8.01138,6.29464,0.98238,6.16317,0.73515,4.12583,7.96118,2.51133,7.89858,8.64473,5.32602,5.20603,-0.03522,2.78907,5.34852
C29ZS2M01.01,4.74666,6.87587,-0.59728,6.14857,7.665,2.15664,8.26875,4.69188,7.3921,3.55301,9.05927,11.75007,5.04224,11.11442,6.20202,2.92022,4.31601,8.649,6.4109,6.36992,3.81308,7.80273,4.08625,10.0685,8.38603,9.16357,2.04372,0.8563,11.50298,4.58651,10.7921,7.97386,8.46641,9.5695,8.4378,6.18813,1.74842,6.82099,1.07836,4.16364,7.77072,2.59548,7.60325,8.8686,5.38022,5.13815,-0.11755,6.07124,5.42119
C29Z7ZV3A.01,5.56865,7.21269,-0.44002,6.92602,7.1757,1.27212,8.50942,4.80727,7.33368,3.75421,8.91318,11.14396,4.46089,11.15834,5.88759,5.61792,4.40158,8.31099,8.06144,7.40894,3.78374,7.74079,4.34346,10.33833,8.5432,9.82864,2.10352,0.45055,11.9223,4.48302,10.33047,8.05421,8.45232,10.08683,8.43269,6.66171,1.2022,7.34024,0.51169,4.22202,7.61162,2.55861,7.99457,8.80818,5.38071,5.67553,-0.40873,4.88724,5.42974
C29ZQOGZP.01,5.67167,7.30356,-0.42666,6.16904,7.5124,2.68876,8.60323,4.49349,7.052,3.41775,9.23921,8.6408,4.79589,10.85708,6.15758,10.4927,5.79196,8.63551,12.91411,7.40951,3.28285,7.56372,4.8438,9.89766,8.29199,9.61028,2.26927,1.75203,12.16701,4.69136,9.69147,8.46273,9.00378,9.88926,8.69018,6.81565,0.7101,7.36999,0.83573,4.02577,7.47699,2.96275,7.57742,8.32414,5.83346,5.20781,0.2104,4.05964,6.08477
C29Z068XZ.01,4.91177,6.74579,-0.12788,5.01585,6.39169,2.18312,7.23741,2.70627,6.72397,3.72748,8.83785,12.28274,3.54092,11.29266,4.76457,3.45073,2.93322,6.69411,6.71522,7.05782,2.69592,7.97712,2.8958,10.06068,8.38524,9.85412,1.85612,0.9268,11.53334,4.44109,9.91652,7.99839,8.18867,9.90467,7.38329,6.44781,-0.24313,7.02599,0.09503,3.56665,7.2725,1.62818,7.51221,7.93584,5.04529,4.96192,0.09655,3.21601,4.17143
C29ZQT1K0.01,4.52359,6.80982,-0.58691,5.08401,6.7634,1.89038,6.78309,6.05901,6.49153,2.35442,8.24682,10.28665,3.75016,11.16593,5.38158,1.02333,3.28486,8.64713,5.47291,6.55927,3.61889,7.5509,3.38031,10.10146,8.42444,9.8408,1.47595,0.85418,11.28929,4.25479,10.2611,8.05221,8.29651,9.8806,7.9819,5.82567,0.32205,7.04387,0.20156,3.70451,7.13568,2.36403,7.33014,8.72843,4.94888,5.13356,-0.07044,4.16176,5.70384
C29ZSD9WH.01,4.057,7.4433,-0.50167,6.34503,6.482,4.068,7.64038,6.21073,7.06092,5.1443,8.06584,12.17706,3.71901,10.72302,5.53566,4.16049,4.54357,11.0211,5.90958,7.75072,4.20575,8.42634,4.32688,8.92236,8.2868,6.62323,2.56351,1.51173,11.94274,4.37834,9.97589,8.05394,7.83127,8.55324,8.49608,6.07982,-0.76261,4.79016,1.70831,4.03563,7.32237,3.62429,8.21028,9.17511,5.31531,5.63588,0.30517,3.56128,7.57606
C29ZV88V9.01,4.70225,7.40086,-0.27109,5.73918,7.11819,2.96745,7.94552,5.66716,7.09772,3.18927,7.9627,9.97036,5.56456,12.09055,6.62235,1.26184,4.57102,9.04139,5.8624,8.03696,4.27887,8.18769,5.04755,8.8864,8.24871,9.01824,2.15159,1.94429,12.30728,4.46335,10.64756,8.1085,7.94247,9.00278,8.19253,5.9504,1.48133,5.81922,1.04193,3.91886,7.61237,3.10456,8.10872,8.9158,6.14891,5.65574,0.11562,3.72593,6.62482
C29ZV14CB.01,5.45411,7.13075,-0.62057,5.34941,7.07925,1.25261,8.30514,4.9786,7.25655,3.01433,9.01305,9.33253,4.70266,11.17037,5.79174,6.3813,4.05961,8.53443,8.98166,6.68928,4.08176,7.99016,4.20995,10.39756,8.57297,9.93628,1.57395,0.75573,11.87551,4.32179,12.4176,8.08238,9.1897,9.86937,8.2059,5.92317,0.33943,7.10304,0.88452,3.95403,7.52886,2.54919,7.76673,8.61681,4.24067,5.31243,0.09448,2.78299,5.34049
C29ZPQXFV.01,4.14733,7.22263,0.05078,5.41378,7.15672,1.5858,8.1007,4.09934,7.24637,2.80798,8.7734,11.34656,5.14104,11.26487,5.08099,2.7836,4.57043,9.30653,5.8869,7.06628,3.70695,8.28772,4.32234,9.63161,8.47047,9.8062,2.02178,1.16784,11.84427,4.35617,10.47333,7.65976,8.04527,9.30061,7.94107,5.77424,-0.03079,6.86939,0.7042,3.91047,7.45918,2.80764,7.74852,8.03169,5.74104,5.25876,-0.12864,1.81461,5.55695
C29ZRT1B0.01,4.25615,6.42573,-0.25644,5.32699,6.47207,1.60105,7.8289,3.78558,7.02256,2.95939,8.43506,9.38625,4.25645,10.92568,5.42686,2.00456,4.58978,8.32638,5.80532,6.61718,2.64848,7.55524,4.09293,10.17247,8.22837,10.02336,1.1779,0.697,11.56936,4.28417,9.24866,8.0697,8.02862,9.83946,7.39204,5.80555,0.21736,7.05223,0.4103,3.60086,7.37396,2.02917,7.29727,7.87745,4.77506,3.81495,0.17022,3.2491,4.75327
C29ZT9UBE.01,4.82231,7.04933,-0.66657,5.76261,6.40472,2.13642,8.40707,4.60757,7.40115,4.22091,10.08334,11.16402,4.40375,11.63885,6.97948,9.05352,4.38589,8.41927,10.84902,6.55562,3.08884,8.0936,4.82472,10.14876,8.78703,9.59836,2.26446,1.46604,12.36636,4.70912,13.33071,8.18088,10.88954,9.88564,7.88452,6.06733,0.58374,6.24932,0.79775,4.09144,8.04721,2.85414,7.89413,8.36852,5.13737,5.12207,0.01945,2.63964,5.23575
C29ZS2MXM.01,7.22568,7.07675,-0.76139,6.00845,7.95571,3.35629,8.52865,5.57744,7.28428,4.29585,9.69602,10.63721,5.3757,12.4662,6.98252,9.733,6.35309,9.00777,10.27226,7.02091,4.16954,8.71918,5.22298,10.26818,8.36325,9.36288,2.32211,1.15163,11.70869,4.72657,13.31183,8.70393,9.39836,9.47809,8.06112,7.53447,0.90372,6.3386,0.69802,4.19825,8.2921,3.42255,8.35753,9.25657,6.16856,4.71269,0.07127,4.90116,5.77721
C29Z7ZV8L.01,4.68628,6.95344,-0.91727,6.96375,6.67739,0.79187,8.70454,4.91192,7.10777,3.07543,8.87596,11.35069,3.4218,10.82283,5.86187,2.73864,3.96463,8.49916,6.31222,7.19805,3.49319,7.61665,4.3208,10.28002,8.36956,10.88008,1.83634,-0.0136,11.75536,4.38045,10.42713,7.91753,8.7615,10.447,8.34723,6.34692,0.80003,7.91951,0.18318,3.82197,7.59538,2.45727,8.12177,8.66749,5.42475,5.14341,-0.5179,4.93722,5.43506
C29ZQOG55.01,4.68912,7.2972,-0.49386,6.32427,7.52067,2.76967,8.94363,4.53228,7.20697,3.23306,9.3776,8.75744,4.56968,11.29128,6.20455,7.06734,5.84494,8.60364,12.53522,7.07877,3.22442,7.5048,4.96942,10.22212,8.35783,10.7752,2.2609,1.75059,11.74979,4.75269,9.58573,8.31652,9.39523,10.46973,8.63423,6.71741,1.25906,8.81973,0.66601,4.10457,7.66777,2.90685,7.63041,8.53729,5.80475,5.00475,0.24901,4.03077,5.96675
C29Z068TN.01,6.66162,7.082,-0.45426,5.47077,8.08456,2.33554,7.4673,3.33625,6.95788,2.42905,8.88974,11.40948,7.69427,11.76022,6.2289,1.9341,3.57142,8.59245,6.92591,6.48706,3.42246,8.84409,3.58864,10.03413,8.42353,9.65796,2.18419,1.57213,11.84075,4.5985,9.95121,8.39937,8.09508,9.79798,8.41537,6.63943,0.0789,6.8602,1.06461,4.01806,7.55357,2.48876,7.96255,9.40286,5.93531,5.50926,-0.11369,3.16619,5.19026
C29ZQT17D.01,4.70719,7.0062,-0.9007,5.60103,6.80169,2.159,8.08691,6.24804,6.75535,5.66173,8.65641,9.79394,4.24209,10.72255,5.64619,8.71169,3.75102,8.72498,9.76977,6.23498,3.61376,7.64936,3.90374,10.27624,8.36299,10.03184,1.83555,0.85088,11.86849,4.13383,12.84016,7.82689,10.10868,9.88632,8.16361,6.12085,-0.10099,6.40067,0.53127,3.22199,7.31023,2.76763,7.57133,8.783,5.49784,5.1239,-0.32811,4.27482,6.3896
C29ZXYZ3C.01,4.65571,7.07577,-0.54579,5.33886,6.59834,4.21952,8.26052,5.56547,7.48376,4.09067,9.23313,11.05004,4.58447,11.18169,6.17212,10.42271,4.36334,10.24752,12.79324,8.31523,2.70661,8.31577,4.44747,10.04108,8.13938,9.86209,1.55354,1.48718,11.88817,4.75501,12.87717,8.2263,9.20128,10.07371,7.94263,5.77776,2.08996,7.11972,1.22258,3.86274,7.57296,2.70283,7.63688,8.77137,5.41049,5.00251,-0.41782,2.46522,6.71363
C29ZXOUBX.01,5.49847,7.02325,-0.41301,5.308,6.55279,2.45852,7.7012,6.11229,7.20307,2.93525,9.06077,8.90343,4.21277,11.6556,6.62394,5.96808,4.2752,7.50706,7.04647,7.73021,4.27748,8.8494,3.80442,8.35197,8.02557,8.1482,2.02257,1.65217,11.98241,4.57161,9.82517,7.55528,8.33877,8.45922,7.18335,5.80081,-0.35501,5.66047,0.82018,3.85088,7.36701,2.75205,7.7685,9.20947,5.3672,5.23082,0.30456,3.42331,5.68175
C29Z73Q95.01,5.38678,7.6526,-0.37483,5.70319,7.45256,3.62077,7.68074,4.32654,7.29342,3.69412,8.6453,8.39982,5.62809,10.63204,6.77099,2.77433,5.18217,8.02323,7.62088,6.9482,4.76655,8.71916,3.93383,7.53075,7.84708,7.97212,2.1137,2.22299,12.50676,4.82138,10.36641,8.01765,7.85528,7.80226,7.92184,5.4333,-0.10388,4.82491,1.35648,4.07435,7.55711,3.13739,8.48827,8.05611,5.44625,5.84977,0.07259,2.71606,6.7482
C29ZPQXPL.01,5.88072,7.33664,-0.47578,5.48277,7.68825,1.81665,8.22543,3.90953,7.30854,3.19212,8.84671,10.04078,6.49256,11.62903,5.5959,0.70567,5.14607,10.08024,7.23755,5.71318,3.63239,8.83006,3.96551,9.73442,8.66869,10.2378,2.11736,1.08256,11.9259,4.55452,10.94484,8.27012,7.48577,9.39513,8.02563,5.54211,-0.14073,5.81896,0.53745,4.05973,7.87252,2.45696,7.84044,9.06263,5.45919,5.5285,-0.42482,3.6538,5.40252
C29ZRT1W5.01,5.74584,6.83429,-0.57019,6.09177,7.08287,1.74745,9.52941,4.27667,7.54427,2.53332,9.90276,12.32395,6.24313,11.66233,6.26146,1.10781,5.16613,9.39032,6.07743,7.88396,3.3034,8.22942,4.44785,10.26257,8.68277,11.6781,1.79767,1.0903,11.92292,4.24023,10.1699,8.05401,10.2367,10.83414,8.02723,6.52731,0.44868,9.00681,1.1112,4.20886,8.05037,2.66042,7.90068,9.46114,5.06218,4.44917,-0.02205,4.51658,5.44325
C29ZZOQG9.01,5.17304,7.42063,-0.54449,5.4373,7.59232,1.95191,8.39453,5.03876,7.18397,2.88691,8.58268,10.53864,5.52293,11.56597,6.49996,1.61672,3.91656,8.80061,6.08075,6.15681,4.05779,8.35871,5.09053,10.24291,8.19661,10.6966,1.62739,1.52565,11.38198,4.36178,10.39515,8.21577,8.15819,10.70708,8.34225,6.24522,0.55186,8.39218,1.08128,3.51437,7.58615,3.19174,8.01037,9.35429,5.73114,5.31541,-0.0297,3.10287,6.14941
C29ZS2M7S.01,4.06165,6.88747,-0.70103,5.91614,6.82855,1.99051,7.79825,4.46049,6.98184,4.15575,8.78579,10.52694,3.6456,11.9555,6.1388,5.7401,4.93666,7.82627,8.06951,6.09931,3.25642,7.76013,3.89187,10.00636,8.39463,9.10968,1.58466,0.25434,11.6638,4.54723,10.79896,8.37827,7.24663,9.46968,7.82014,6.23651,0.04847,6.39482,0.29394,3.30789,8.02595,2.30367,7.95171,8.56891,5.28141,5.01763,-0.25188,4.54907,4.93925
C29ZDAX0O.01,5.51815,7.61808,-0.55454,6.07155,7.15198,4.02515,8.27956,4.58588,7.40858,4.8333,9.47869,12.28895,5.24666,11.31219,5.70652,8.99278,4.99685,10.26861,12.84567,9.54722,4.30797,8.15977,5.29328,9.79641,8.16041,9.73722,2.46286,1.51798,12.20012,4.85298,11.29161,8.4063,9.14704,9.86484,8.11233,6.35188,-0.14598,6.96324,1.52065,4.35666,7.59684,3.47666,8.26494,8.96106,6.03166,5.9526,-0.13021,1.55483,7.16514
C29ZN97EJ.01,5.34836,6.7675,0.91503,6.04191,7.20345,1.65284,7.15054,4.33273,7.0249,2.39091,8.58279,10.60255,4.85116,10.90269,6.40516,2.73628,4.28962,8.45881,6.31717,6.51788,4.06796,8.37189,4.18193,10.2396,8.47878,10.46216,2.64137,1.38871,11.31101,4.33963,10.24354,8.20778,8.86729,10.19802,8.1404,5.99587,-0.04059,7.65264,0.6212,4.42814,7.31847,2.39849,7.68218,9.15817,4.44297,4.66416,0.63909,2.90855,5.45255
C29Z068ET.01,7.20915,7.14286,-0.33673,5.44692,7.01294,1.78723,8.96113,4.69763,7.54201,3.69585,9.96662,12.1862,8.06164,11.59254,6.03258,10.83864,3.4766,7.93159,13.08517,5.90643,3.615,8.81696,4.37598,10.4635,8.67876,11.85588,2.07959,1.25074,11.96575,4.71788,11.29219,8.43477,9.31897,10.86129,7.85679,6.73565,0.8496,8.53295,0.73979,4.18361,7.8991,2.43994,8.16355,8.70325,4.5126,5.54089,0.21456,3.06104,5.09986
C29Z4OOK7.01,5.70106,6.81295,-0.51599,5.26539,7.38056,3.08188,8.64367,5.46479,7.28995,4.49369,9.53263,8.55006,5.42812,11.24546,6.15506,11.92032,3.75776,11.5287,12.86409,10.11375,4.25034,8.98033,4.44248,9.34348,7.77651,8.6204,2.24615,2.01458,11.42127,4.51949,11.42493,8.96578,8.87828,8.99937,8.70409,6.26958,0.47316,6.25472,2.85436,3.97267,7.59332,3.53797,8.35868,9.54706,6.78586,5.25355,-0.38072,3.81219,6.71994
C29ZXYZFT.01,4.02151,7.01954,-0.42755,5.33964,6.28621,2.12328,7.81566,5.32806,7.09909,2.74456,8.62256,11.37413,4.08366,11.25647,5.63301,2.82072,4.38727,7.9351,6.00229,6.83548,2.54601,8.28722,3.87122,9.45908,7.77699,9.61693,1.2418,1.11655,11.71706,4.55365,10.12559,7.92243,8.74863,9.78583,7.26398,5.2148,1.39032,6.70223,0.83322,3.39283,7.43474,2.32829,7.28488,8.63861,5.08977,4.76607,-0.32723,2.30426,5.78477
C29ZVUP74.01,5.73814,7.05212,-0.37202,5.91924,6.93057,1.97774,8.38862,5.78177,7.38596,5.09769,9.95911,12.18872,4.14337,10.96968,6.06545,11.8051,4.10421,10.88025,12.63333,7.2548,3.4296,8.59115,4.96257,10.37111,8.30995,10.4306,2.61409,2.49379,11.62932,4.66815,13.23214,8.68943,9.90429,10.24279,7.95572,6.02032,1.09128,7.53798,0.61189,4.46203,7.4671,3.5805,8.10485,9.14483,4.7174,4.696,-0.10255,3.38086,6.43555
C29Z73QCH.01,5.70575,7.82742,-1.00117,6.08988,7.5415,2.92303,8.44509,4.7056,7.48382,4.52366,9.745,10.21243,5.88,11.23725,7.23473,3.60691,6.02189,9.26878,8.05333,8.33379,4.9626,8.89167,4.34985,9.56698,8.44657,9.09805,2.56208,2.12348,12.7313,4.89124,11.33362,8.67517,9.0337,9.0476,8.57308,6.09391,-0.10047,6.93081,1.40153,4.53547,8.34199,3.70661,9.23491,9.23417,6.11346,6.52251,0.22977,3.97706,6.90458
C29ZPQXNR.01,7.09811,7.3576,-0.37381,5.80226,7.68388,1.76743,8.74143,4.86738,7.47608,2.6336,9.377,12.16307,6.67257,12.47349,5.80258,1.29709,5.54611,8.93794,6.97345,7.64025,4.423,8.81246,4.77704,10.1408,8.54146,11.04549,2.44493,1.34009,12.38585,4.80068,11.57477,7.70041,8.67393,9.96891,7.87043,6.12664,0.01052,7.58495,1.01075,3.88388,8.09785,2.84392,7.99185,9.29601,6.22289,5.83194,-0.01434,2.83829,5.75187
C29ZZ80SV.01,5.31171,6.99751,-0.69744,5.09073,6.95844,1.88709,8.61818,5.65199,6.99041,2.84777,9.10616,12.00149,4.23835,11.75558,6.85362,4.26338,3.59296,9.55253,6.97329,7.20716,3.11057,7.62717,3.72392,9.61949,8.65514,8.55527,1.93847,0.89022,11.62496,4.23443,11.17017,8.18373,7.15336,9.47955,7.69019,5.80345,-0.77865,6.47848,0.61715,3.88849,7.73261,2.71823,7.64482,8.07592,5.29176,4.87448,-0.62653,2.15439,5.58531
C29ZE03KM.01,4.07416,7.33657,-0.28246,5.76177,7.2657,2.62091,8.33055,6.09021,7.23468,2.49009,10.69797,12.26035,4.88963,11.3433,6.36357,3.40358,3.46465,8.77472,5.61497,7.56439,3.50075,8.49898,4.2236,9.74615,8.25583,9.36831,2.16979,1.66225,12.55474,4.70541,11.14861,8.21511,9.09078,9.92909,8.30994,6.00094,0.1778,6.82654,0.8641,4.05253,8.06387,2.91573,8.69838,8.97971,6.83275,5.83413,-0.46438,4.1779,6.47018
C29ZFFZYY.01,4.29953,7.1786,-0.19567,5.04905,6.44569,1.65041,9.59008,4.43795,7.47881,5.41307,10.59963,12.21516,5.08191,11.19679,6.55755,11.64813,3.88585,9.72348,11.72122,6.39171,3.9173,8.11898,4.33068,10.5339,8.93271,10.74259,2.31992,0.60247,11.47764,4.38613,13.17832,7.82269,8.69634,10.3804,7.48777,6.28837,0.59289,8.07188,0.31233,4.27029,7.96846,3.02047,8.22675,9.26341,5.4295,4.92055,0.11205,3.19009,5.8275
C29ZDAXNK.01,6.03796,7.69207,-0.43288,6.0106,7.68997,2.7834,8.24344,4.77768,7.39515,3.82976,9.32585,11.5691,5.59348,11.9031,5.84061,9.39483,4.83715,9.53948,13.00125,8.96565,4.6134,8.45303,5.51897,10.18998,8.44624,10.5541,2.22591,1.61211,12.44597,4.69756,11.23492,8.63697,9.69109,10.28201,7.93446,6.55401,-0.61547,7.61036,1.23569,4.50931,7.75127,3.37092,8.27908,9.80631,6.1972,5.54909,-0.07643,1.57866,6.39051
C29ZN972Z.01,5.27643,6.74253,1.11625,5.35563,6.81072,1.34035,7.32825,3.58569,7.09717,2.46142,8.97794,10.34116,4.42658,11.32709,6.00061,7.23221,4.85848,8.00045,10.74252,7.11822,3.463,7.88101,3.90766,10.13688,8.49516,10.60682,1.72502,0.90278,11.50045,4.52044,10.54077,8.05603,8.5813,10.14288,7.68109,5.84356,-0.71287,7.87742,0.40878,3.91947,7.40086,2.36561,7.72697,8.35193,4.82935,4.79261,0.19,2.98889,5.45872
C29Z068OX.01,5.79526,7.16221,-0.3269,5.45784,6.38595,2.26739,7.32736,4.2552,7.06438,2.79544,8.4833,10.3089,5.09597,12.69029,5.64936,2.38885,4.35979,8.34361,7.50459,6.36275,2.94047,8.82197,3.32193,9.93497,8.57637,9.68066,1.84518,1.21024,11.87443,4.59503,10.57017,8.89419,7.95407,9.48775,7.51973,6.29105,-0.40756,6.26797,0.266,3.97604,7.79243,2.46704,7.91463,8.93025,4.82541,5.54746,-0.25344,2.75129,4.75403
C29Z4OOA6.01,4.59751,6.61826,-0.47019,5.24523,6.38489,2.34885,7.90683,4.32393,7.00999,2.66652,8.46512,8.4374,2.70523,11.27114,5.92621,2.52268,3.66248,8.32991,5.90118,7.01142,3.28662,8.32888,3.32213,9.3726,7.76839,8.62639,1.92027,1.22056,11.32198,4.50987,10.26962,8.64718,7.9866,8.99073,7.82754,6.04949,0.5125,6.05438,0.62464,3.53268,7.38824,2.95826,8.03465,8.90936,5.55313,4.91226,-0.60663,3.3581,5.71532
C29ZXYZS3.01,5.01008,7.59773,-0.75246,6.59032,7.3314,3.38983,8.47486,6.07315,7.42285,3.77037,9.50773,12.10003,4.73284,11.61493,6.41971,3.14406,5.53367,9.72201,7.32676,8.7103,3.2342,8.71314,5.02465,10.24744,8.49943,10.17218,2.69211,1.82862,12.5682,4.95963,11.54099,8.46482,9.51909,10.22088,8.35725,6.06414,2.44144,7.58431,1.87295,4.62368,8.41728,3.39605,8.1557,9.79204,6.07924,6.19561,-0.21542,3.47924,6.73541
C29ZVUPPY.01,7.16996,7.42268,-0.1568,6.36368,8.06799,2.42835,8.24859,6.37516,7.55733,4.86101,9.79759,10.40913,5.25201,11.70879,6.67133,11.80575,4.28823,10.40816,12.67995,6.68386,4.01737,8.59789,5.63699,10.46159,8.76347,10.22912,3.05034,3.31992,12.04358,4.87462,13.1257,9.14921,9.98402,10.28578,8.52275,6.91322,2.71297,7.63542,0.98289,4.93309,7.88243,4.17701,8.53852,9.67808,5.25027,5.45468,0.29861,4.729,6.57924
C29Z73QRD.01,5.79902,7.79689,-0.42031,5.90896,7.14134,2.56733,8.51539,4.3926,7.60975,4.05187,9.59798,9.47079,5.55583,10.97414,7.03087,3.69302,5.219,8.7282,7.98335,7.94523,5.0099,8.92023,4.12059,8.84091,8.44054,8.16308,2.02539,1.85824,12.78995,5.00908,10.97401,8.40512,8.37154,8.38812,8.28066,5.90475,0.09385,5.41577,1.24583,4.46216,7.90715,3.53089,8.92262,8.88579,5.52789,6.82024,0.24414,3.55416,7.15947
C29Z5SNGM.01,6.45872,7.19755,-0.73819,5.34386,7.69398,3.22786,9.31543,5.64544,7.22213,4.22365,10.25916,10.43472,5.57179,11.37345,6.81177,4.11935,3.99921,11.35139,6.42108,9.04418,4.00451,8.35463,3.6904,10.32452,8.40819,10.98112,1.92453,1.72327,11.7933,4.26715,10.49621,8.99058,9.56793,10.59403,8.71131,6.48091,0.08175,8.42247,2.22126,4.42915,7.71951,3.1809,8.21431,9.50777,6.5354,5.28182,-0.34984,3.70046,7.75051
C29ZZ80Q2.01,4.9896,7.06116,-0.48062,6.78125,7.2155,1.66734,8.55545,5.70715,7.33828,3.40617,8.63745,12.04676,4.18045,11.48298,6.78899,4.66932,4.29118,8.88076,7.23808,7.55613,3.16059,8.09756,4.422,10.06893,8.6407,9.67607,3.31709,0.73587,11.50451,4.73343,11.59886,8.43054,8.23459,9.75023,7.95096,5.89342,2.29509,7.16396,1.11537,4.66328,7.76048,2.93706,7.65566,8.24426,5.45875,4.9455,-0.3274,2.58853,5.93329
C29ZE039U.01,4.28639,7.55228,-0.20354,5.92953,7.26983,2.72178,8.16112,6.04408,7.25777,2.76107,9.95961,11.02651,4.54523,11.68866,6.66321,1.55122,4.06579,8.61342,5.93061,7.32365,4.05828,8.74105,4.44913,9.73965,8.3122,9.55867,2.10258,1.84975,12.54067,4.72817,10.81093,8.54975,8.7301,9.95764,8.38965,6.33912,1.71003,7.06424,1.09205,4.12957,8.08996,3.16164,8.64062,9.51882,6.6918,5.9194,-0.5873,4.4539,6.52956
C29ZFFZF7.01,4.78074,7.24192,-0.63463,5.40469,6.33653,1.51704,8.06815,4.46969,7.13183,3.71156,8.60707,9.35184,4.10401,11.3649,6.08341,5.25217,4.17891,7.88187,7.59281,5.91316,3.90112,7.83491,3.76403,10.19614,8.68138,9.52011,2.02976,0.71995,11.50586,4.57263,10.84452,7.99648,7.99981,9.80783,7.48004,6.41931,0.14751,7.24994,0.20521,3.77445,7.76616,2.28271,8.05158,8.61935,5.268,5.63518,0.18626,2.37978,5.53612
C29ZDAXV0.01,5.57448,7.53033,-0.4124,5.69605,7.2255,2.55581,7.76001,5.54728,7.1957,3.50531,8.63418,10.34539,5.01746,11.83797,5.53718,2.50282,4.92301,9.05296,6.04638,9.03839,4.29108,8.22564,4.83829,9.39532,8.23264,9.50755,1.831,1.47777,12.3822,4.72667,10.57356,8.29928,9.11281,9.67193,7.75179,6.3754,-0.03499,6.02231,0.9045,4.05039,7.552,3.11309,8.01979,9.55443,5.79795,5.4877,0.02119,1.46301,6.17956
C29ZD50CS.01,6.00286,6.81582,-0.43573,5.18489,7.00429,1.14979,9.14727,3.8627,7.45278,5.48238,10.03122,11.56698,7.15327,11.55209,7.38532,7.36472,3.56383,9.90524,9.54449,4.49606,3.54324,8.77676,4.68137,10.25322,8.32119,11.5162,1.31272,1.4786,11.40706,4.17986,13.2984,8.53934,10.21048,10.70901,8.15054,6.21783,0.66926,8.28588,0.51222,4.06362,7.3619,2.65661,7.68301,8.81898,4.84722,5.01552,0.23745,1.63461,5.96747
C29Z4OOF4.01,6.60433,6.62493,-0.4544,5.19146,8.79317,2.62682,8.33209,4.63063,7.20702,2.71224,9.01786,7.68474,6.2,11.09783,6.47768,3.15427,3.6967,9.35874,6.07523,8.1805,3.58542,8.50396,3.6538,9.93563,7.84302,9.53652,1.84378,1.76898,11.45633,4.43646,10.47348,8.57352,8.62069,9.81202,8.67261,6.11654,0.59991,8.11693,1.84585,4.3019,7.46761,3.34791,7.92159,9.37511,5.42811,5.32326,-0.48003,3.99036,6.57389
C29ZXYZTP.01,5.14227,6.9698,-1.38102,4.99932,6.92019,4.93969,7.88031,6.32405,7.11019,5.09934,8.96502,10.54782,4.85618,11.26684,6.46817,3.23134,5.27334,11.24322,6.16036,7.91654,2.75163,8.36583,4.08507,10.20501,8.12577,9.63513,1.58074,1.64211,11.86979,4.65675,11.19731,8.47101,9.51959,10.09736,8.50286,5.9092,1.91687,7.3856,1.26547,3.62196,7.60003,2.22363,7.63147,9.07397,5.80139,5.7003,-0.74071,2.7384,6.76105
C29ZVUP0C.01,4.81768,6.90948,-0.48353,5.76585,6.79751,2.01489,7.19997,5.33249,6.93021,2.55359,8.46279,9.54047,4.1811,10.63569,5.56312,2.62099,3.96393,8.49189,6.61238,5.85653,3.25615,8.1383,3.58597,9.9081,8.21345,9.51966,2.26608,1.87952,11.56501,4.70341,10.24803,8.47764,7.93859,9.84238,7.57842,6.1646,1.34068,6.99356,0.38271,3.62274,7.16998,2.63289,7.55729,8.50457,4.3292,4.33163,-0.2548,3.38185,5.46771
C29ZHMY0I.01,9.29851,7.57475,-0.87152,5.0668,6.21957,1.45966,8.44055,5.1725,7.09618,5.01951,9.39383,11.1066,4.52331,11.32449,6.25113,5.88805,3.95326,10.98314,7.23797,8.0121,4.21078,8.52243,5.21517,10.31218,8.553,9.62643,2.86367,1.80488,12.60462,4.64283,11.39324,7.78858,8.66825,10.01193,9.05142,6.07379,-0.7578,7.16353,0.48941,4.31044,7.72444,2.97748,8.71992,9.62076,5.52462,5.50024,0.24506,5.57676,8.58556
C29Z5SNS7.01,6.99912,7.22133,-0.62155,6.45368,8.01398,2.2474,9.20824,5.22243,7.37277,3.4347,10.09946,11.88828,6.27414,11.61925,6.98753,7.46605,3.85809,11.24063,11.29382,7.52072,4.2496,8.26897,3.95946,10.17598,8.48691,10.96263,2.37917,1.76193,12.14353,4.53316,10.55115,8.49502,9.48704,10.60355,8.51098,6.93184,-0.61434,8.70235,1.98028,4.74623,7.84881,3.45343,8.31914,9.42174,6.78441,6.03398,-0.27293,3.88418,6.9095
