,P10144,O75509,P09038,O75144,P12544,P18627,P15692,Q9UQV4,P09382,P22301,P14210,Q92583,P20718,P09601,Q13241,P05231,Q16790,O43927,P10147,P39900,O76036,O00182,P32970,P01127,P35968,P01133,Q9BQ51,P42701,P09237,P07585,P13500,P50591,P09341,Q15389,P26842,P48023,P05113,P29965,P10747,P01730,Q02763,Q01151,P49763,Q14116,O95727,Q9NP84,P48061,Q8WXI7,P43489
C29Z2FWO0.01,6.08701,7.33383,-0.71619,5.58482,6.77525,1.08132,7.92958,5.19139,7.18485,2.96009,8.58887,10.57601,4.53848,11.5555,5.85913,3.57185,4.28766,7.89782,6.47628,7.01497,3.78846,8.03066,4.27603,10.29827,8.44974,10.33665,2.07384,1.18533,11.6899,4.45494,10.35184,7.59656,8.99888,10.23675,8.03138,6.65141,-0.75986,7.36956,0.57954,3.53039,7.43982,3.18234,7.87346,8.28342,5.68232,4.58765,-0.18026,3.80658,6.06401
C29ZQBE1H.01,5.00163,7.70649,-0.41578,5.1192,7.28951,3.00977,9.26841,5.32701,7.44549,7.00224,10.43122,11.82025,4.98853,11.31988,6.96094,6.98156,4.39225,9.98012,8.74439,9.08584,4.44794,8.2641,4.25941,10.55925,8.91785,10.38269,2.56893,1.94053,12.11716,4.40628,13.81191,8.06116,9.98202,10.23025,8.18466,6.88823,0.09219,7.80991,0.8871,4.43665,8.30273,2.87422,8.57166,9.99308,6.29437,5.66076,0.20283,6.07294,7.43741
C29ZJ330S.01,7.57284,7.31178,-0.39872,5.83824,7.11338,2.70569,8.65897,4.68312,6.98177,4.07683,9.01998,12.58517,4.24029,11.87242,5.19182,4.85854,4.52095,8.89119,7.28242,9.26217,3.8194,8.02093,4.49303,10.31387,8.27808,10.60937,2.27163,1.69422,11.76183,4.66713,10.86028,7.96711,9.10561,10.43692,8.83223,6.61538,0.1944,7.99514,0.80227,4.22939,7.55664,2.91196,8.25324,9.22454,6.48868,5.27715,0.09424,3.11624,6.28528
C29Z7IZPQ.01,6.31982,6.92221,-0.62941,6.20126,7.51823,1.90351,8.24769,4.39095,7.19754,2.44985,8.73733,10.12098,7.04596,11.04369,7.02807,2.27057,4.15252,8.1308,6.30093,6.77634,3.19031,8.20666,3.95591,10.28402,8.65303,9.75473,1.84133,1.07969,11.94932,4.57359,10.74598,8.40857,8.47944,10.36387,7.88539,5.44484,0.64658,5.61082,0.58958,3.82508,7.91534,2.73463,7.57278,8.49416,5.87462,4.69956,-0.17356,3.18034,5.26035
C29ZR13MV.01,5.36005,7.22749,-0.72526,5.92381,6.98527,2.33547,7.86304,4.52745,6.02316,2.95955,8.62854,10.85726,5.46522,11.65339,7.04697,2.98571,4.07686,9.26935,6.47779,7.24896,3.52589,7.7263,3.50519,9.76707,8.12888,9.21737,1.96281,1.23267,11.85697,4.40167,10.85292,8.55153,8.17518,9.83923,7.55788,6.73088,0.87948,7.34073,0.84349,3.92289,7.58288,2.61395,7.97729,9.8126,5.82864,4.71626,-0.22702,3.51374,5.51761
C29ZLV7LO.01,6.5929,7.64699,0.50656,5.84923,7.61802,3.778,9.19606,5.50667,7.29986,3.78893,9.1055,11.59053,6.56836,10.90551,6.83391,3.37215,4.79893,10.37166,7.44853,8.89434,4.43357,8.45417,4.64992,10.56527,8.39066,10.35858,1.96449,2.03679,11.84859,4.65206,10.84877,8.98226,8.89305,10.8017,9.01693,6.84565,1.02392,8.27581,1.7757,4.65399,7.54817,3.60632,8.30924,8.95841,6.22759,5.52844,-0.17712,3.86933,7.19652
C29Z58NDR.01,4.49998,7.44014,-0.65285,5.75567,6.51609,2.38418,7.97826,4.73456,7.20834,2.81291,8.37427,9.27355,3.7386,11.24195,5.62735,2.65942,4.92438,8.50249,6.37673,7.34781,3.69906,8.28496,3.98806,9.57718,8.14853,9.64247,2.36825,1.16082,11.55405,4.59328,10.8797,8.0095,8.96989,9.43634,8.05016,6.02517,0.05437,6.87849,0.80393,4.14999,8.17046,2.44636,7.82681,9.05315,5.38047,4.92455,-0.13831,2.6624,5.77874
C29ZWWKB7.01,4.69249,7.00879,-0.74489,5.47915,7.24332,2.3306,9.02658,5.0281,7.00012,3.97398,9.84314,10.68015,5.26942,10.84401,5.96784,5.16722,4.86531,11.25573,7.72195,8.64045,3.59012,8.41151,4.65292,10.53402,8.27241,10.85404,1.79205,1.42768,11.8295,4.30529,10.1006,8.12569,9.04262,10.4922,9.00244,6.34225,-0.58258,8.04658,1.87317,3.88203,7.91794,3.08286,7.99232,8.8315,5.19208,5.33812,-0.34561,4.123,7.80552
C29Z67G73.01,5.01638,7.05933,-0.6399,5.66024,7.24583,1.38707,7.90788,6.03786,7.38476,2.98996,8.14717,12.2642,5.34184,11.43185,6.16983,4.91176,3.62716,9.13467,6.36058,9.55689,3.66296,8.53065,5.00828,10.30492,7.88484,9.75287,2.04035,1.34752,11.90588,4.43555,10.36567,7.63117,8.66153,10.34609,7.38018,6.04204,0.32188,8.38719,0.88124,3.49567,7.37302,3.01168,7.90724,9.40999,5.74864,4.61944,-0.53018,2.25141,6.6268
C29ZVFNKE.01,5.15198,6.72109,-0.41529,5.34891,6.84713,1.41368,8.17614,5.03264,6.87887,3.47003,8.58768,11.20671,4.71775,11.60347,5.69421,2.40093,3.76389,9.65289,7.21825,6.92622,3.3843,8.125,3.49806,9.28488,8.12373,8.49186,0.94847,1.46275,11.00829,4.32568,10.6348,7.83934,6.77815,8.92062,8.02818,6.00065,1.65355,5.46024,0.6342,3.5279,7.33111,2.10809,7.70586,8.7129,4.67614,5.43027,-0.65175,2.84835,5.01839
