Sample_ID,Cancer,O00182,O43927,O75144,O75509,O76036,O95727,P01127,P01133,P01730,P05113,P05231,P07585,P09038,P09237,P09341,P09382,P09601,P10144,P10147,P10747,P12544,P13500,P14210,P15692,P18627,P20718,P22301,P26842,P29965,P32970,P35968,P39900,P42701,P43489,P48023,P48061,P49763,P50591,Q01151,Q02763,Q13241,Q14116,Q15389,Q16790,Q8WXI7,Q92583,Q9BQ51,Q9NP84,Q9UQV4
PRC_127,PRC,0.63075,0.41245,0.2221,0.2747,0.45505,1.3472,2.9114,2.9316,0.82995,0.1024,1.47205,0.76875,0.7273,1.9574,2.44545,0.82875,0.95065,1.0084,-0.86505,0.81715,0.4097,0.26405,0.78755,0.98815,0.0534,0.45205,1.11805,1.11085,2.54585,0.1663,0.31835,1.3772,1.17975,0.58725,0.8576,1.6344,1.07695,0.51425,0.2012,0.3151,0.68315,-0.2223,2.30795,-0.1778,-3.4669,2.3273,0.1241,0.28095,0.86505
PRC_128,PRC,0.4265,1.1159,-0.29745,0.4288,0.08875,-0.0582,0.40545,1.9826,0.7011,1.66745,0.5496,0.34295,0.3473,-0.0552,0.90615,0.58025,2.0245,-0.2239,-0.6136,0.0551,-0.24995,1.06385,0.91265,0.5372,0.1372,0.0607,0.86465,0.6472,1.27485,-0.1819,0.1384,0.4871,1.1774,0.21525,-0.94005,0.2202,0.45195,0.744,0.23805,0.3053,0.6134,-0.27365,0.74335,0.8763,-3.4173,0.74475,-0.2775,0.1543,0.2048
PRC_129,PRC,,1.45555,0.50025,0.456,1.02635,,,,2.35305,3.08635,0.35895,0.5341,1.87615,1.3202,,,,1.6266,1.4074,0.82305,0.69565,,0.72635,1.34625,1.67725,0.6258,2.4425,0.72,1.69465,3.40065,0.5164,1.29685,2.19025,1.02945,-0.025,1.1819,0.72075,0.42665,2.02285,0.7636,0.54555,,,0.8614,-0.1766,,0.81745,0.3916,0.8142
PRC_13,PRC,0.17235,-0.035,0.36375,0.51985,,0.1768,3.96275,4.01675,,2.69265,,0.162,,2.04505,2.79105,1.87965,0.48735,,,1.3046,1.1893,0.7245,0.338,1.321,0.4577,0.77055,0.5776,0.46685,3.28015,,0.3335,0.6575,0.1604,0.671,0.92335,1.94225,0.7598,0.8655,,0.3079,0.4002,-0.47195,2.7807,0.5638,-2.8329,3.47555,0.77365,0.6476,-0.0789
PRC_130,PRC,0.98475,1.40575,0.24755,0.5133,0.95615,2.02325,0.79475,2.63755,1.16265,-0.3793,0.9285,-0.08035,0.26255,2.25585,2.3986,1.29435,0.8653,1.71405,-0.2668,0.9136,1.48555,1.37645,1.1458,3.10975,1.30585,1.61755,0.5868,1.5624,2.5758,-0.2231,-0.2167,1.5219,0.776,1.0573,0.5768,1.44165,1.1495,1.303,0.9121,0.3547,1.80975,-0.02815,0.4451,-0.0515,0.77165,1.63435,0.3438,0.57185,1.0208
PRC_131,PRC,0.60675,-0.25635,0.02555,0.4208,0.41945,0.48635,3.7922,4.3657,0.80405,-1.49995,0.66205,0.0567,3.33545,2.6861,3.41005,1.67105,1.5642,1.8883,0.3581,0.66015,0.50115,0.94715,1.04545,1.28605,0.75055,1.7364,0.1791,0.2114,2.72165,0.01075,0.2141,0.98395,0.94975,0.33405,-0.7221,1.413,0.61395,0.83395,0.51895,0.257,0.52415,0.49115,2.7175,0.2778,-0.0384,4.483,0.62405,0.0184,0.2393
PRC_132,PRC,1.5329,0.6195,0.251,1.2764,1.5518,0.14365,2.6055,3.29445,1.38575,-0.3774,1.4544,0.54905,2.5022,2.77885,1.90735,1.7462,2.2067,1.49205,0.65275,0.9288,0.428,0.997,0.81415,2.1559,0.07005,1.06715,0.0309,2.07395,3.4781,1.03405,0.12895,2.9843,0.586,1.42795,0.23565,1.4668,1.65365,0.31935,1.54665,-0.20015,1.13325,0.9456,1.7288,0.57835,0.0604,4.36175,0.33145,1.8563,1.7209
PRC_133,PRC,0.84215,1.1585,-0.0737,0.5094,0.26445,1.0737,4.21475,5.5052,1.04245,-1.232,0.55595,0.2593,2.3646,1.65405,2.90685,2.09085,0.52535,1.47515,-0.4349,0.9667,1.1895,1.12,1.24045,2.3066,0.54005,3.0799,0.49605,0.6472,4.5855,0.31325,0.4776,1.40215,-0.02925,0.4558,-0.45675,1.7726,1.0022,1.2365,0.3213,0.425,1.08525,-0.16675,3.6018,0.17155,1.19715,4.5376,-0.03635,0.84915,-0.17375
PRC_134,PRC,1.2796,1.4621,-0.3317,-0.3267,0.2023,1.10325,4.9866,6.06605,1.14075,1.2534,1.6981,,3.8308,,3.90985,2.0964,1.2036,1.73395,-0.21315,1.1034,1.8124,1.1366,1.53355,2.9492,0.21185,,0.3065,0.19575,5.0086,0.37885,-0.05885,1.9526,0.703,1.20985,-0.36805,2.6715,1.19695,2.02105,0.35205,0.39835,0.28855,0.1419,3.9411,0.36295,-2.7057,4.74675,-0.04515,0.6283,-0.0925
PRC_135,PRC,0.7751,0.3304,0.06155,0.9156,0.08125,0.5755,1.3545,1.97385,1.05735,1.63315,0.6992,0.61625,0.43135,2.44935,1.4872,1.0847,1.63765,-0.44975,-0.25375,0.6122,0.28245,0.63195,0.26565,1.2059,-0.00915,0.1057,1.59475,0.93975,2.04825,0.51105,0.8115,0.55395,0.3344,0.7671,-0.2182,0.9118,1.0664,0.67615,0.7038,0.50925,0.37955,-0.1701,1.5328,-0.08185,-0.3872,1.90255,0.8,0.601,0.84395
PRC_136,PRC,0.5334,-0.2287,,0.7155,,,1.6431,2.94915,,0.86455,,0.06875,,1.75155,0.9731,,,,,0.5421,0.39045,,0.52435,0.5736,,1.022,1.77355,0.76845,1.84825,,0.1159,0.57355,0.5887,0.6872,0.4477,0.8383,0.9518,0.59925,,0.01435,1.03835,-0.1034,1.4882,0.64475,,1.27265,,0.4056,0.87665
PRC_137,PRC,0.36665,-0.52165,0.2184,0.96795,0.5668,0.3905,1.24515,2.1552,0.8178,-0.90205,0.23065,0.0353,1.7396,2.25615,1.0506,1.05785,1.07885,0.86645,-1.2852,0.2294,0.405,0.36995,0.17535,0.35185,0.09915,0.46775,-1.2888,1.0577,2.1344,0.8889,0.55715,0.66935,0.7772,0.04085,0.19195,0.7591,0.8698,0.87395,0.309,0.1287,0.6096,-0.42535,1.1555,1.06645,-3.7235,1.33195,-0.22465,0.37275,0.2027
PRC_138,PRC,1.01505,-0.3114,-0.13925,0.48495,0.7718,-0.01315,1.7914,2.50515,0.89625,0.7747,-0.1666,0.65785,2.51545,2.7534,2.32725,1.7652,0.03315,0.7996,-0.3485,1.2069,0.2171,0.89315,0.5581,1.3104,-0.0273,0.53065,0.02595,0.21695,2.4446,-0.4627,0.37965,1.6943,0.9307,1.02235,0.164,1.13735,0.97295,1.24775,0.0576,0.6603,1.13725,0.25735,1.4605,0.50415,2.01925,1.66475,0.0277,1.1789,0.8056
PRC_139,PRC,1.33065,0.7641,0.167,0.718,1.38695,0.72695,2.69625,4.4141,0.9922,2.8323,1.4315,0.17495,1.823,2.66615,4.1914,1.69895,0.78725,2.78145,0.1572,0.6383,0.84375,0.95425,4.9102,2.233,0.8702,2.3501,2.48965,0.9601,3.9083,0.9055,0.3082,1.1451,0.92385,1.171,-0.11005,1.43435,1.52185,1.2585,0.5839,0.3958,1.1065,0.37585,2.4206,0.0711,0.91665,2.1681,0.5599,0.93395,0.63105
PRC_14,PRC,0.64085,0.01415,0.2005,0.4884,0.73415,0.39505,4.0788,5.6692,0.83695,-0.1403,1.16905,-0.153,3.14355,1.8851,3.2103,2.0124,0.9096,2.913,-0.59285,0.72945,1.1994,0.91955,0.8056,2.02915,0.44075,1.58465,0.8961,0.33435,5.3805,0.19705,0.9892,0.5683,1.31965,0.71275,0.5834,2.1601,1.11975,1.15845,0.6103,0.79165,0.44685,0.6522,3.2769,1.13425,-1.84145,2.87795,1.22155,1.01905,0.9899
PRC_140,PRC,0.86155,2.8527,-0.20765,0.5112,0.87385,-0.16425,2.3694,2.50025,0.76725,2.56275,1.37995,-0.04615,1.6152,2.54795,3.2326,0.9326,1.1923,-0.3883,-0.36335,-0.1142,0.1308,1.82745,1.4825,1.8296,-0.254,-0.8009,1.25155,0.53575,1.77015,0.54275,0.24945,1.87735,0.29985,0.6491,0.6266,0.99115,1.42025,1.0643,0.00715,0.42765,1.1991,0.6011,3.223,0.56065,1.81265,1.43865,0.58725,0.61875,0.41625
PRC_141,PRC,1.49155,0.1305,0.27605,1.49435,1.464,0.6406,3.36795,3.08625,1.21685,0.97375,2.99385,0.7026,2.9127,3.36975,2.04125,2.02975,1.38125,1.5043,0.30755,0.9253,0.7252,1.6678,0.9936,2.0904,-0.0706,0.19415,0.679,2.36095,2.82815,0.28885,0.0865,3.238,0.6052,2.3915,-0.52695,1.34495,2.257,1.1387,1.4355,0.3783,0.598,0.23955,1.8907,0.8807,-1.8487,2.92925,1.07145,1.6463,1.4893
PRC_142,PRC,0.58735,-0.28695,0.6766,1.10205,0.59975,0.27485,0.6643,2.27415,0.52185,-1.4449,-0.7556,0.4891,1.0606,2.276,2.14045,0.9274,1.15715,1.22395,-0.47515,0.75655,0.57635,1.37065,0.67505,1.101,1.206,0.50695,1.42155,0.7866,1.601,0.8306,0.3024,0.30575,0.64045,0.4454,0.0207,1.56405,1.18045,1.48455,0.2246,0.0586,0.5428,-1.0011,0.7968,0.1588,1.63625,1.08105,0.58435,0.519,0.42365
PRC_143,PRC,0.18185,-0.06175,-0.1031,0.6373,0.51095,-0.1982,1.4429,2.7657,0.45405,1.6499,-0.28635,0.18855,1.5987,1.8198,1.09835,0.48575,1.12285,1.174,-0.83955,0.23955,-0.0488,0.77065,0.29045,1.23965,0.0495,-0.12395,1.66515,0.33375,0.99185,0.7226,0.65825,0.7303,1.11635,0.42565,0.0014,0.7693,0.66365,0.76115,0.4428,0.2446,-0.18125,-0.7862,1.67695,1.2917,0.9252,1.2794,0.2726,0.69285,0.18265
PRC_144,PRC,1.0076,0.45975,0.06175,0.7827,0.7309,1.01475,3.2287,5.18645,0.5132,1.16075,0.4263,0.5894,2.1179,3.0291,2.51075,2.02365,0.48085,0.5985,-0.375,,0.71995,1.52765,0.924,1.8504,0.43765,0.11635,0.80305,0.9562,3.83265,0.7462,0.1998,1.6935,-0.2897,1.0726,-0.09945,0.99475,1.11385,0.48095,0.6337,0.27775,0.56885,-0.5799,2.93835,0.9212,-3.07115,4.423,-0.1994,0.42225,-0.41125
PRC_145,PRC,0.85125,0.84325,,0.6656,0.8971,1.68785,2.8724,3.9179,1.29915,-2.59585,0.661,0.7751,2.58445,3.1374,2.6884,2.0521,1.6241,2.82705,-0.53925,1.66855,1.3045,1.0198,1.31185,2.6556,,2.13205,2.65675,1.43965,3.92155,0.23525,-0.2763,1.80055,2.0445,0.2365,-0.00665,2.7948,1.5342,0.20145,1.31155,0.65095,1.23465,0.1369,3.0488,0.91505,,2.74245,,0.60705,1.11655
PRC_146,PRC,0.75155,1.1138,-0.18865,0.24015,0.9331,0.8784,3.14685,4.56095,1.02365,0.94285,1.17725,,2.9023,,3.72455,2.25105,1.39305,2.2178,-0.51905,,1.481,0.9809,1.2506,1.9162,0.9879,,2.2976,0.82615,3.32355,0.99175,0.3929,0.295,0.5971,0.644,0.07625,1.63975,1.1524,0.8601,0.5342,0.4441,1.3292,0.09515,2.7995,0.3893,0.315,2.26045,0.15165,1.127,0.4842
PRC_147,PRC,0.58635,-0.0116,0.0958,0.53125,0.85475,0.91545,2.4675,4.12965,1.0365,-0.03695,0.96885,-0.06525,2.19125,2.38565,3.84305,0.90285,1.28265,1.5774,-0.69605,0.38785,0.9604,1.09095,0.65745,0.9929,1.03795,1.88615,-0.76475,1.2725,3.27205,0.59115,0.3115,0.9749,0.4731,0.61515,-0.5197,1.65045,0.94345,1.1963,0.6438,0.21785,1.29055,1.0271,2.76835,0.92225,-3.96815,2.24295,0.2868,0.39685,1.2448
PRC_148,PRC,0.32695,0.0736,0.20595,0.8904,0.14615,0.13395,0.8774,2.36075,0.79105,0.00715,2.14595,0.52545,0.8068,2.15705,2.9136,0.7816,0.8552,0.576,-1.07885,0.5099,0.0399,0.75695,0.7325,1.5544,0.4189,0.257,1.96835,0.00895,2.35385,0.03175,-0.02405,0.88905,0.28845,0.6452,-0.5622,1.13795,1.14115,0.7025,0.29885,0.27905,0.1252,-0.7377,1.8468,0.08315,-2.49785,0.14355,0.12175,-0.00875,0.32385
PRC_149,PRC,1.4628,0.67065,0.06545,0.6014,0.711,0.09895,3.6087,5.11575,0.9683,0.30255,0.5372,0.9206,0.7154,2.4572,3.68405,2.15915,1.42605,1.4768,-0.4099,0.196,0.88395,2.01465,2.9319,3.127,0.93235,0.46845,0.60345,0.9242,3.60545,0.5508,1.0542,1.9813,0.4776,1.0052,-0.42775,1.73815,1.34415,1.19245,0.6261,0.56005,0.23445,0.3659,4.11535,0.7314,2.53895,3.7698,0.5806,0.93485,1.40345
