Sample_ID,Cancer,O00182,O43927,O75144,O75509,O76036,O95727,P01127,P01133,P01730,P05113,P05231,P07585,P09038,P09237,P09341,P09382,P09601,P10144,P10147,P10747,P12544,P13500,P14210,P15692,P18627,P20718,P22301,P26842,P29965,P32970,P35968,P39900,P42701,P43489,P48023,P48061,P49763,P50591,Q01151,Q02763,Q13241,Q14116,Q15389,Q16790,Q8WXI7,Q92583,Q9BQ51,Q9NP84,Q9UQV4
AML_1,AML,1.5923,3.1517,-0.4436,0.1274,-0.57045,1.29635,4.97385,5.5042,1.76855,0.12275,5.4329,-0.0091499999999999,4.72395,2.39395,4.6974,2.5264,1.81695,2.76585,1.1844,1.18575,1.8449,1.29145,3.54535,3.99795,0.81135,2.63535,4.2198,1.09365,5.3448,1.4657,0.83495,-0.365,1.08025,1.811,-0.4004,1.31355,1.23705,-0.9595,-0.8216,0.85,0.2094,1.0845,3.87015,-1.1462,2.4212,2.04445,0.50115,0.4492,-2.7778
AML_10,AML,1.1667,0.3065,0.10625,0.36865,-0.0882000000000001,0.1487,0.8392,1.60795,0.53895,0.72145,2.06735,0.1399,1.9694,2.06545,1.87625,0.76395,2.0461,2.8384,-0.28285,,0.0961,0.3817,2.1641,0.8893,0.40065,1.1294,3.7905,0.94245,0.7484,1.31625,0.31145,-1.4379,0.1449,1.8935,-0.31195,0.43805,1.3017,-0.48215,-0.13255,0.4762,-0.1125,0.0493999999999999,0.23345,0.0031999999999999,0.3153,0.83345,-0.12485,-0.0795,1.4669
AML_11,AML,1.41675,0.44485,0.0047,0.03025,0.1798,0.5592,1.62395,2.6982,1.2693,-0.79495,2.57755,-0.0095999999999999,3.8846,2.12725,2.2428,1.14435,0.56255,-0.17985,0.2643,1.0966,0.7931,-0.15605,1.43085,1.64555,0.56605,0.70275,2.7548,1.3836,3.2593,0.8122,0.45555,-0.30255,1.4261,1.07315,-1.04985,1.4797,1.9738,0.71025,0.1811,0.6146,0.4089,0.16355,1.1175,-0.35315,-1.6681,0.38805,0.02615,-0.16465,1.0576
AML_12,AML,0.98105,1.0981,0.3438,0.32815,-0.13315,,-3.2107,-1.52715,1.3116,1.12495,2.58495,0.25845,0.44685,2.27725,1.74255,,,0.2848,-0.04455,0.42825,0.5737,,0.80565,0.941,0.46575,0.98155,1.87775,1.091,-0.34215,0.46845,0.766,1.2396,0.4808,1.36825,-0.4766,0.23635,0.72035,0.3028,-0.3893,0.76085,0.85425,0.0316,-1.28095,-0.0726500000000001,-0.44885,-0.62225,0.1993,-0.07115,-0.5041
AML_13,AML,2.1388,3.8005,-0.4592,0.0457000000000001,-0.4247,-0.94935,3.5168,4.11555,2.06045,-0.4323,6.2795,0.20565,3.3766,1.88605,4.70935,2.3353,3.3359,3.46605,1.29675,0.3742,1.3847,2.005,2.86855,3.6626,0.77325,2.48735,3.5402,1.79415,4.4531,2.97715,-0.06465,2.4232,1.9422,0.71435,-0.89525,0.5094,1.65145,0.10115,-0.12205,0.53765,-0.26875,1.0281,1.89,-0.09185,-0.482,0.88205,0.85705,0.5448,0.5192
AML_14,AML,4.5651,1.2373,1.2381,1.2057,-0.11685,-0.1653,0.7772,2.2749,2.01405,1.0941,7.1221,0.97465,1.1599,2.6318,3.25515,1.9776,3.6206,1.89245,1.8736,0.6564,0.7314,3.06975,3.006,1.71955,-0.2836,1.3468,7.32445,1.0371,1.84985,0.8013,0.6019,1.3997,1.15735,2.16895,-0.9602,1.85885,1.97145,-0.44845,0.7514,1.29115,-0.83805,1.1933,1.31915,1.1544,0.34115,0.31695,0.2088,2.0033,-0.0271999999999999
AML_15,AML,3.17215,0.3957,-0.51475,1.18285,1.5708,1.2836,-0.52645,0.25475,2.03215,-1.03465,4.12415,0.2762,0.9909,2.74485,1.69685,1.89015,5.58515,3.926,1.07355,1.0168,2.5429,0.68,3.367,1.4801,1.9819,4.19025,4.1442,1.43125,0.40805,1.83685,-0.0025,1.2871,0.9703,1.4505,0.24485,-0.22255,1.1771,0.2892,1.1042,0.6901,1.3189,1.73905,0.7526,-0.475,1.3278,-0.37605,0.25185,0.4402,0.5736
AML_16,AML,1.33105,0.4054,0.06235,1.0402,0.11895,2.03875,-3.72715,-1.9597,1.2608,0.04065,2.14165,0.43815,0.7877,2.4119,1.25215,0.33845,2.13225,1.5086,0.92325,1.2083,1.7679,-0.0293,0.92555,1.33805,1.7087,1.427,4.76895,1.8616,-0.3853,2.5848,0.70485,0.22695,1.87235,1.94415,0.42695,0.12475,2.19285,0.42915,0.0591,0.56625,0.84855,1.57205,-2.9437,-0.12315,1.1097,-0.37655,0.6684,0.3244,0.083
AML_17,AML,3.26195,5.1031,,1.71945,1.86235,,1.65395,2.776,1.5849,-0.43865,2.03465,-0.11535,2.36595,1.8358,3.7251,2.1167,1.75215,2.20995,-0.03595,1.94095,1.08155,,1.51915,1.4663,,1.7045,4.87405,2.84105,2.99735,1.6619,0.2863,1.23445,1.7678,3.62975,0.66325,1.1577,1.89325,0.74135,1.70555,0.2785,2.1178,0.0863499999999999,1.6174,0.8036,,7.30745,,0.89465,1.6354
AML_18,AML,3.37575,1.41015,0.3999,1.01035,0.7239,0.8102,-2.32635,-0.7101,1.6195,0.19265,4.25985,1.1848,0.6666,2.46165,1.4312,2.31245,3.14175,1.26085,1.5133,1.3762,1.5574,1.22805,2.12965,1.95895,2.47325,2.61925,4.1694,3.4649,-0.3077,5.1669,-0.36305,1.43065,2.802,2.60485,-0.23135,-0.1951,2.6955,0.70735,0.3744,0.9314,1.5402,2.40685,-1.3081,1.35865,1.2928,-2.10125,0.86385,2.26055,1.0129
AML_19,AML,1.4192,0.4774,-0.0457,1.09035,-0.1119,0.91365,-3.9039,-2.61675,0.9743,-0.9571,0.58865,-0.1263,1.2089,1.50305,2.4634,0.4775,1.6847,2.97855,-0.858,0.5338,0.83455,0.6885,1.2058,0.5251,0.9664,0.89745,1.9881,0.89895,-1.2848,1.126,0.26935,0.0198000000000002,0.68255,0.31265,0.3214,0.4808,0.5689,-0.4115,0.45425,0.63495,0.21685,-0.0913,-2.90745,1.13635,-1.2212,-0.7699,0.59735,-0.1531,0.89495
AML_2,AML,1.31325,0.3451,0.3667,-0.18155,-0.3065,2.32035,-0.00305,0.0869499999999999,1.39965,-0.28505,1.9116,-0.38465,1.0423,0.84985,2.64685,0.56255,3.56575,2.8503,0.36885,0.71365,2.6831,0.02645,0.4388,0.5495,3.4384,2.0079,5.3465,,1.59565,1.01095,,0.8541,0.8602,1.5717,1.2619,0.17695,1.74925,0.27345,-0.7156,,1.09535,1.7269,0.55795,-0.17665,1.1813,-0.2408,0.8876,,-0.02565
AML_20,AML,3.27075,1.95075,0.11595,0.8514,1.12995,1.14215,-3.6065,-2.7167,2.04365,0.54335,4.00345,0.2768,0.34585,2.9595,2.33205,3.18065,1.5196,3.5281,0.5729,0.51605,2.49585,1.18195,3.65995,1.36415,0.84515,3.561,2.9381,1.312,-1.44115,1.47225,0.0777,1.10455,0.78015,2.11955,-0.3272,-0.2438,1.28555,0.22065,0.81705,1.3647,1.16125,0.87505,-0.1991,0.1398,1.3054,-0.079,0.13245,1.1641,0.8774
AML_21,AML,0.15315,0.0393,-0.1143,0.2931,-0.48275,-0.0264000000000001,-2.77635,-1.671,0.71995,-1.1448,1.42575,0.4482,0.7684,2.27665,2.45865,0.42445,0.63275,-1.13835,-1.0784,0.0074999999999999,-0.3265,2.1311,-0.12815,0.6869,-0.32105,-0.6329,0.87135,0.3746,-0.7099,0.71945,-0.9104,1.76335,-0.0721500000000001,0.2291,-0.69635,0.7289,1.5074,0.2411,-0.1146,-0.0773,0.09405,-0.35885,-2.2152,0.44925,-4.33745,-0.2029,0.31875,0.03885,2.08245
AML_22,AML,,-0.57985,0.41905,0.57385,,0.6401,,,,-1.11995,,0.44115,,1.99245,,2.0927,1.5574,,,0.2979,1.19135,2.9111,0.4937,1.74485,0.84655,1.22015,0.45735,0.7263,4.46885,,0.4358,0.7309,0.44365,0.48545,0.0791,1.9064,1.1293,0.8099,,0.42585,0.79345,,,0.6752,1.177,,0.5794,0.7142,1.13825
AML_23,AML,1.76165,2.0434,0.10615,0.96925,-0.3874,1.52015,0.3359,1.03065,0.85035,-0.3969,2.2269,0.47475,2.50335,1.8461,3.62195,1.6904,1.05475,4.9627,0.8193,0.3943,1.2295,2.20815,2.9806,1.1971,0.99,2.61185,1.01545,0.95905,1.5358,0.7595,0.20485,1.3165,1.1098,1.18955,-1.3069,-0.12935,1.64845,0.15545,-0.0216000000000001,0.4531,0.93135,0.50315,1.0819,0.94685,1.60645,0.59555,0.6046,-0.2054,0.2686
AML_24,AML,3.89715,2.6978,0.1958,0.5298,-0.84195,0.5332,-2.86275,-1.0912,2.10645,1.1141,7.37245,1.4387,-0.1597,1.93165,4.64475,1.88535,4.13715,-1.12635,2.9794,0.145,-0.6671,3.7189,2.53355,1.8964,2.85575,0.7165,3.41095,0.9421,-0.5347,1.12015,-0.532,-0.73095,2.14765,1.1644,-2.62095,2.0222,3.05,-1.4448,1.2146,0.5315,-0.0287500000000001,2.76255,-1.3572,3.34775,3.38865,0.1746,1.72195,1.71015,0.56025
AML_25,AML,0.4626,0.8169,-0.21535,0.1812,-0.45895,0.5823,0.0863,0.92335,1.22665,0.71655,2.5498,-0.07115,1.81715,2.25745,2.9259,0.4524,1.18175,-1.36715,-0.01225,0.3458,0.40255,2.32065,1.16015,0.9745,0.60465,0.5217,0.55115,0.90965,0.49785,0.20995,0.5582,1.43395,1.2035,0.6687,-1.1546,1.4935,1.2377,0.63525,-0.3134,0.32695,1.01475,0.5735,-0.1549,0.0471500000000001,-0.8146,-0.85525,0.1856,-0.1839,1.65765
AML_26,AML,1.125,5.7377,0.0326,0.4667,0.0033499999999999,0.4647,-0.4212,1.7897,1.58005,2.3729,3.8734,0.30775,2.421,2.6624,3.08845,1.2088,1.5562,0.85985,0.7604,-0.388,0.142,1.77245,2.3462,1.67105,0.7541,1.2189,2.69215,0.8686,1.29385,-0.5495,-0.554,-0.2516,1.39765,0.74405,-0.8497,1.14185,1.54555,0.17225,-0.1779,0.01835,1.31635,0.4586,-0.12985,0.0397,1.33595,-0.70775,0.5377,1.2397,1.0088
AML_27,AML,0.14725,0.4667,-0.2777,0.19115,-0.912,-0.33995,4.1267,4.31115,1.03145,0.72975,2.164,0.02095,3.72255,2.49795,4.76465,1.57675,0.87295,-0.197,-0.2644,0.1555,1.5495,1.1621,1.42415,1.81115,-0.1297,1.8443,-0.71835,0.3344,4.3486,-0.76475,0.4962,0.8943,0.7473,0.38575,-0.9625,2.39765,1.46575,-0.1651,0.3052,0.435,0.2685,0.24155,2.4562,0.33205,-2.98905,0.82505,0.36545,0.14085,1.3304
AML_28,AML,0.2077,-0.3915,-0.10115,0.53165,-0.5291,-0.0459000000000001,-1.5226,0.15195,0.41245,0.78015,0.27515,0.244,0.46,2.07735,2.48185,2.45525,3.9282,-0.9261,-0.50685,0.55095,0.4575,2.7873,-0.0249999999999999,0.7518,0.00105,-0.2129,0.4381,0.27685,-0.1977,0.64105,0.79965,0.8274,0.3117,0.4693,-0.07495,0.95345,1.175,0.99055,-0.17225,0.5869,0.4452,-0.3572,-1.35305,0.5935,0.8817,-0.59015,-0.05185,0.3603,0.4287
AML_29,AML,1.23275,0.17,0.7826,0.85745,-0.93345,0.12415,-2.6811,-0.93855,0.4596,,0.23175,0.66135,0.76895,1.29465,1.77715,-0.10295,1.87735,-0.1584,-1.07385,0.0238499999999999,-0.2147,-0.34315,0.75305,0.322,0.46165,0.53305,,-0.3277,-0.0270499999999998,0.66865,-0.1236,-0.9318,,0.27465,-0.0016999999999999,,1.56055,-0.3692,-0.1249,0.20725,-0.37355,0.5288,-1.46575,0.58605,-3.93765,-1.68175,0.0792,-0.90015,0.4254
AML_3,AML,1.8965,0.5448,0.8635,0.9491,1.10955,1.29545,1.29875,1.9092,1.45255,-0.88425,1.9482,-0.13865,0.66595,2.18905,3.541,0.8588,2.69825,3.04855,0.5094,5.61985,1.117,1.77525,1.37325,1.03465,2.09915,3.07885,2.4054,0.28415,1.327,-0.3781,0.68615,-0.0424,2.67685,1.2553,0.8752,0.0456499999999998,1.96355,0.8307,-0.0767000000000001,1.2142,1.5082,0.5006,1.30175,-0.738,-0.5078,0.60915,0.32065,0.1662,-0.6591
AML_30,AML,2.21445,1.71235,1.15,2.1095,1.36515,2.1494,1.2089,1.6278,2.87085,2.7692,1.06975,0.84005,2.3937,2.3537,3.47475,1.75475,1.62185,1.4332,1.82485,1.80865,1.4199,1.91825,4.22035,1.44765,2.6439,2.79945,2.05145,0.91095,2.74495,0.7162,0.33335,2.6874,2.30925,1.91205,1.4206,1.0876,2.31755,0.88825,2.4384,0.8445,1.64665,0.6834,1.64885,1.3318,1.8787,0.4419,0.8601,0.65935,1.21765
AML_31,AML,1.3542,1.64995,0.2458,1.5737,-0.39195,0.7103,0.0179500000000001,1.5726,1.61475,1.04175,6.36315,0.96485,1.92965,2.27805,3.5123,1.71355,1.5783,-0.25035,0.9879,0.77155,0.1914,2.51595,2.0628,3.059,-0.26475,0.015,2.1923,2.90435,1.28545,1.4198,0.17785,1.9314,0.7382,2.1783,-2.0537,2.02925,2.73625,0.48955,1.09685,0.552,1.47775,0.5501,0.30395,2.8326,3.01505,0.4599,1.02875,2.53665,2.39855
AML_32,AML,1.65775,1.5751,-0.5844,-0.14325,-0.3899,-0.05045,-2.11995,-1.45415,0.76755,-0.52335,0.9982,0.18415,0.2007,2.36175,1.29335,0.31645,1.96605,-0.9843,0.76535,0.30115,0.3806,0.90985,1.0382,0.6583,-0.1836,-0.2944,0.4703,1.05385,-0.47705,-0.29565,-0.37555,0.7568,0.8784,0.5287,-0.2456,0.99635,1.64075,-0.48285,-0.8262,0.3416,0.56005,-0.7201,-2.01085,1.15575,-4.5486,-0.5003,-0.1628,0.3953,0.60835
AML_33,AML,1.53565,3.0069,0.12365,-0.00365,0.56955,0.35945,4.39325,4.7511,1.4771,0.72515,3.06415,0.23255,2.89715,2.6187,6.3642,,,1.99485,1.15275,-0.09095,2.12145,0.52025,0.90985,2.7025,1.0765,2.509,4.08805,1.37895,3.38325,1.6964,0.1732,2.10115,1.7402,2.35615,-0.64325,-0.2014,0.96615,0.68555,0.92575,0.1917,-0.0737,0.88915,3.8413,0.8207,2.71665,5.67905,0.64785,0.88455,1.5794
AML_34,AML,2.17795,2.43045,,1.00065,0.20095,0.60425,1.6532,2.16925,1.46015,-0.7238,6.0572,-0.3047,3.2535,2.7354,5.18815,1.6892,3.16415,3.24635,2.23245,0.08375,2.25925,1.89645,1.76445,3.2845,,2.39255,3.03905,1.6161,4.7607,1.3028,0.3879,2.17785,1.92785,1.6823,-0.5518,1.32885,1.48825,-0.68175,0.0216000000000001,0.4005,1.4935,1.779,2.3956,0.4921,,-0.11165,,1.1506,0.36185
AML_35,AML,1.46705,-0.01635,-0.03235,0.76685,-0.47605,-0.0545,-0.68,1.50005,0.7828,-0.79285,0.0341999999999999,0.52345,2.43935,2.02005,2.63195,0.7392,1.9593,0.34955,-0.007,0.807,0.12945,2.1442,0.2636,0.64295,1.50085,0.57015,1.81995,0.1847,1.58265,-0.2834,0.3202,1.4224,1.06425,0.0371499999999999,-1.1165,1.0313,1.4051,0.5476,-0.0850000000000001,0.22855,0.63745,0.0595,-0.15775,0.3884,-2.7285,-0.748,1.0658,0.2086,0.72665
AML_36,AML,4.0294,1.32325,0.15695,1.4071,1.3154,1.26935,2.6244,3.33965,3.7805,-1.37905,0.6047,1.2305,3.9314,2.6701,3.04565,3.40825,2.24045,4.5128,2.3951,1.8693,2.65805,0.79445,3.7209,2.487,2.06045,4.74305,4.58035,2.8871,3.12045,5.2355,0.7844,4.2187,2.2508,2.5791,0.72845,0.75885,1.87465,1.17055,1.4906,0.94735,1.03025,2.1507,2.20575,0.6205,-2.17745,1.4597,0.6647,1.61025,0.79965
AML_37,AML,0.93665,0.3029,0.1675,0.30835,0.32835,0.45605,-2.5008,-1.81975,1.247,0.74905,0.61725,0.99655,0.45415,2.01675,1.39845,0.96015,0.65285,-0.3009,0.07155,-0.44965,0.0965,1.98005,0.47515,1.2185,0.41095,1.56935,0.51075,0.8271,-0.50485,0.63715,-0.2892,2.4216,0.9743,0.52645,-0.1347,0.89715,1.42795,0.7567,0.3714,0.25465,0.90865,-0.8162,-2.21305,-0.01595,1.86085,0.56045,1.0477,0.12705,-0.3959
AML_38,AML,0.73925,1.52185,-0.6833,-0.0488500000000001,-0.28205,0.66275,3.8344,5.35575,1.59155,0.7917,4.0368,0.5503,3.5731,2.5972,3.08945,2.6367,0.62955,2.75265,0.22005,-0.00245,1.02865,-0.39925,2.11305,3.4225,-0.5747,2.45645,0.84895,0.9447,5.5572,1.76,0.3358,1.68885,1.14135,0.4383,-1.3419,0.15795,0.60535,-0.72395,-0.2798,0.3557,0.5757,0.3243,3.2206,0.2363,0.75805,2.14705,-0.30355,0.157,-0.73245
AML_39,AML,1.22545,1.12,0.45465,0.3581,-0.0903,1.10305,-2.26615,-1.60045,1.09735,1.93525,3.14235,0.2545,0.8824,2.51725,1.9988,0.8852,1.6468,0.329,0.3523,0.7508,0.4595,1.6776,1.48285,0.7125,0.93595,0.92075,1.65275,1.5962,0.0091500000000002,1.2415,-0.22745,1.907,0.993,0.9792,-0.9586,0.4442,1.19665,0.296,-0.05335,0.56995,0.73265,0.3398,-1.25895,0.42085,1.98905,-2.4944,0.6264,0.2077,1.8722
AML_4,AML,0.65435,1.22175,0.1375,0.1023,-0.48495,0.94915,-3.1236,-1.6878,0.14105,1.2622,1.87355,-0.2706,0.21795,1.2285,0.8416,0.599,1.1813,0.4384,-0.17595,0.80725,0.7444,0.72865,1.6078,0.28905,0.35675,1.20515,1.7788,1.77455,-0.596,0.0237500000000001,0.0657,0.3105,1.19415,0.92555,-0.6331,0.8165,0.84615,0.17225,-0.3241,0.97795,1.07085,1.1131,-2.3966,1.68945,-3.32205,-0.09145,0.27685,-0.67365,0.0367999999999999
AML_40,AML,1.23365,0.451,0.7843,2.40465,1.2118,0.27925,-2.82155,0.12315,1.24405,0.30735,1.5226,0.28735,0.7224,2.46565,1.17415,0.99095,1.37715,1.9519,-0.33055,0.89685,1.2191,0.87355,1.5192,0.7826,0.6022,2.2121,1.0574,0.48945,1.09355,0.46515,-0.16785,1.4789,1.2952,1.0529,0.9871,0.94525,1.19165,0.92325,1.0079,0.3929,0.76505,0.4946,-1.29285,0.66355,1.8588,-1.1457,-0.0583,0.4425,1.01305
AML_41,AML,2.3471,1.7062,,1.25845,0.6183,2.52825,-1.5538,0.16515,2.216,0.9415,3.55585,1.0422,2.5204,2.82905,1.0811,2.6838,3.2496,6.48205,2.038,1.848,2.40325,3.783,3.5901,1.7197,,3.66325,5.2983,2.68745,1.0122,5.1614,0.62905,2.6432,1.72245,2.53095,0.9249,-0.0342000000000002,2.1664,0.801,0.90695,0.89095,0.74155,1.7107,1.66475,2.04475,,-0.3703,,0.6613,1.90105
AML_42,AML,1.27025,1.3687,-0.1416,0.6121,0.09255,0.6264,-4.62185,-2.3707,1.16365,0.7476,4.30375,0.1901,0.2947,1.45295,1.25765,0.96605,2.53475,0.05525,0.2111,0.2643,0.1001,1.4084,2.44145,0.7919,0.63915,0.0965999999999999,1.91925,0.8683,1.2246,0.94955,-0.4417,0.66395,0.74895,1.0335,-0.52915,0.3297,1.0938,-0.597,0.0538,0.658,1.11215,0.51355,-1.9377,-0.14215,1.76475,-0.0386,0.64695,-0.33715,0.62565
AML_43,AML,1.42645,1.9137,-0.0998,1.5253,0.77615,0.97685,0.97455,1.7436,1.4424,-0.2225,3.47,0.28345,1.4684,2.63235,3.9175,1.52635,1.81035,-0.37255,0.7021,1.0247,-0.33455,1.75175,1.4687,1.5057,0.3958,0.199,1.33815,2.5458,1.6194,0.092,0.5643,1.9682,0.67895,1.8789,-1.32505,1.74965,2.14185,-0.463,0.206,0.3648,1.8688,0.33425,0.6827,-0.1522,1.34835,-0.781,0.5484,1.10125,0.91585
AML_44,AML,2.17775,1.06305,0.0515,0.66795,0.2241,,-1.46745,-0.723700000000001,1.6398,-0.94195,5.44905,0.612,1.4529,2.79265,2.4183,1.92455,4.87395,3.71475,1.649,0.7391,1.5459,,3.06875,1.58855,0.30805,2.59335,1.279,1.744,1.5287,1.2711,0.13625,1.03065,0.7871,1.86515,-1.57345,0.5769,2.182,0.0854499999999999,0.1794,0.9576,0.8995,0.81575,0.6885,0.06465,1.4486,-0.68255,0.30495,0.40065,0.2717
AML_45,AML,,-0.22555,-0.21175,0.11415,-1.16815,0.7623,,,0.6862,-0.70005,1.5511,-0.22895,2.47475,1.56515,,0.8094,2.2496,3.29395,-0.2837,0.1177,0.92895,0.818,2.5714,0.78445,0.52855,2.31785,0.29555,,1.52255,-0.2016,,-0.5579,0.04455,-0.21455,-1.1475,0.5136,1.3782,1.0294,-0.9065,,0.45595,,,0.0279,0.9371,,-0.0333,,-1.08835
AML_46,AML,2.33415,0.013,-0.0611,1.0302,-0.31185,1.4602,-4.13225,-1.7723,1.70585,0.446,3.67005,0.4693,1.0896,2.11965,-0.82625,2.95075,3.27065,0.69275,1.1298,1.5393,0.2774,0.4394,4.59615,1.9717,0.63915,1.1443,1.39315,2.4772,-0.4722,3.95415,-0.0294000000000001,0.54455,2.20725,1.9336,-0.05705,-0.3558,0.9156,-0.1058,1.8107,0.318,-1.20685,1.62925,-2.369,0.43235,2.61315,-2.0627,0.60195,1.09725,0.91445
AML_47,AML,0.29605,-0.0091999999999999,0.02895,0.682,-0.18905,0.60255,-1.234,0.0412500000000002,0.38575,-0.15875,0.95645,0.75505,1.176,1.83335,1.7036,0.5418,2.135,0.4295,0.13075,0.9917,-0.0178,3.42905,0.7631,0.6647,0.8133,0.0370999999999999,1.06165,1.29575,0.11105,0.11445,0.31815,2.19295,0.42215,0.9442,-0.8957,1.45505,2.19485,0.1316,0.26165,0.32205,-0.3469,0.3947,-1.0282,1.09525,-4.28115,-0.14635,0.59755,0.48595,0.88895
AML_48,AML,2.63745,0.6082,0.5452,1.4779,1.98885,0.94,0.0182500000000001,1.2071,1.62405,0.5371,1.56615,1.5044,1.2206,2.09535,2.48065,1.42175,1.59205,1.28675,0.5801,1.3573,1.2409,1.0736,1.35405,1.4736,2.55355,1.2261,1.68825,2.4119,1.5012,0.80815,0.3799,0.67995,1.89665,1.2493,0.28535,1.7904,2.8841,0.6574,1.1186,1.313,0.46615,1.59535,-0.2215,0.18475,-0.83295,1.0893,0.67705,1.32295,0.99825
AML_49,AML,1.29305,0.9896,1.21495,3.6126,-0.7175,0.85695,-1.35295,1.30245,1.53005,-0.67325,4.82165,0.5131,3.0433,2.58905,0.967,1.383,2.4292,0.942,0.0551999999999999,-0.0114,1.0135,0.4957,1.79225,1.1684,2.21315,1.65525,2.58635,0.46,0.26855,1.8666,0.62665,0.4237,0.4874,0.4334,-1.256,0.2379,1.94785,0.1155,0.20715,0.35995,1.07055,-0.3939,-0.15925,0.32555,1.69605,-0.0045999999999997,0.205,-0.1156,1.117
AML_5,AML,1.54525,1.20985,-0.3007,0.4095,0.22065,-0.0745500000000001,-1.559,0.7547,1.40345,3.5075,3.80445,0.3058,1.30625,2.0392,1.9518,0.8246,2.1315,2.8129,1.85305,0.74455,1.5548,2.42655,2.28,1.31555,0.51285,1.48295,2.7744,0.52705,1.2024,0.51475,0.741,-0.0293000000000001,0.69075,1.12685,0.548,0.3801,0.71265,0.40825,0.0502,0.84645,0.31885,1.3083,0.2803,-0.40975,1.00285,-0.11145,0.53215,-0.09595,-0.8056
AML_50,AML,1.83485,0.32305,0.54395,0.7686,0.98995,1.71165,0.5899,0.2809,1.09445,2.60405,4.89345,0.5081,0.85495,1.9159,3.65195,2.28715,0.9949,0.4738,0.9788,0.50445,0.59705,2.19495,3.17735,1.45255,1.48555,1.5887,0.7128,1.8363,1.04115,5.02865,0.2067,2.92015,1.84245,1.60825,-0.0263,0.8789,2.02595,0.19675,0.53235,1.2529,0.90445,-0.03615,1.4544,0.5737,2.1341,-0.4752,0.53875,1.5084,0.1455
AML_6,AML,3.3462,-0.4897,0.4645,1.2034,-0.00645,0.52335,-0.91585,-0.3095,1.31485,0.76855,2.8305,-0.34635,1.06685,2.15795,1.5995,2.3819,1.13265,1.46475,0.3578,0.72955,1.8762,-0.23905,4.92035,1.37625,0.20785,2.35125,1.3564,1.69615,0.7404,1.0765,-0.20245,-1.8376,1.76855,1.6403,-0.4618,-0.20895,0.53005,0.0226,0.4559,0.7032,0.5406,0.2244,1.20635,-0.0726000000000001,-3.0572,-1.51925,-0.25775,0.0114,0.9471
AML_7,AML,1.75915,0.32385,0.4681,0.93155,0.5158,1.9544,-2.91735,-1.2077,1.3658,0.39535,0.48055,0.7128,0.7086,1.49365,2.4611,0.26415,1.84075,1.18265,0.7577,1.5114,1.3792,1.51045,0.97325,0.86575,2.50015,1.27625,4.215,2.3226,0.2075,0.2142,1.03745,0.38805,1.8995,2.23555,0.97345,-0.0325000000000002,2.0306,0.75205,0.3436,0.7726,0.7018,1.32045,-0.4496,0.26645,1.2434,-0.13495,1.06505,0.27425,1.0072
AML_8,AML,0.24275,-0.4342,-0.05615,-0.03185,-0.5866,-1.3239,0.80945,1.06555,0.63235,-0.67245,1.86165,-0.617,2.2954,2.46955,4.01995,1.21385,1.83715,2.2007,-0.59155,0.1016,0.555,0.5629,0.5493,1.1846,0.0605,1.04905,1.3179,-0.77585,0.65965,-0.74995,0.9794,0.1055,1.3038,0.2988,-0.01455,-0.18055,1.9196,0.4276,-1.3767,0.6241,-0.5566,0.03075,1.4099,0.3299,0.5589,-1.58215,0.28465,-0.617,-0.6338
AML_9,AML,0.51175,0.9302,,0.28975,-0.43275,-0.0331500000000001,3.72515,4.8591,0.6067,,2.02705,,2.92085,,4.6899,1.5974,1.33895,-0.34245,0.49085,,0.35345,0.93455,1.21805,1.3305,,,,0.41025,4.34045,0.1066,0.702,,,0.75575,-0.60405,,0.89795,0.59665,-0.45165,0.3653,0.3752,-0.55075,2.9285,,,2.79215,,-0.35205,0.1827
BRC_1,BRC,-0.06075,2.0591,0.07715,0.27095,0.22085,0.52175,2.45645,4.0394,0.3581,1.23995,-0.28275,,0.35385,,4.1832,1.3185,0.86165,0.91635,-1.23765,0.60885,0.84975,-0.52915,-0.12215,1.0189,0.4791,,-0.59875,0.20165,4.09265,0.2907,0.7551,-0.01395,0.0160999999999999,0.33955,-0.10055,2.0174,0.63775,0.39355,0.42325,0.5871,-0.1838,-0.53095,1.9212,-0.0488,1.92295,1.76195,0.42105,-0.61225,-0.2911
BRC_10,BRC,-0.0536499999999999,0.38625,,0.65235,,,3.7773,4.86065,,0.91295,,-0.35805,,1.70875,5.50135,1.4952,1.1928,,,,0.32385,,0.6022,1.55445,,1.17455,0.82875,0.5274,4.95305,,0.1009,0.5536,0.15085,0.30665,-0.1359,2.2687,0.3938,0.442,,0.88135,0.58815,-1.0843,3.08115,0.4366,,3.4341,,-0.4843,-0.14135
BRC_100,BRC,0.5434,-0.57485,-0.30965,0.1974,0.2102,0.27575,-0.2283,1.87995,0.5674,-1.39475,-0.9951,0.4877,1.5759,2.3222,2.25305,0.67035,1.72265,-1.1258,-0.7163,0.4776,0.03555,0.37085,0.5736,0.7522,0.04535,-0.76705,0.43185,-0.3456,0.27575,0.4089,0.3951,0.6531,0.0015999999999999,0.1929,-0.60395,0.86865,0.82295,0.63785,0.4294,0.01595,0.55755,-1.6155,-0.34645,1.0818,2.38435,-0.0983999999999998,0.024,0.00615,-0.16065
