sample_id,P10144,O75509,P09038,O75144,P12544,P18627,P15692,Q9UQV4,P09382,P22301,P14210,Q92583,P20718,P09601,Q13241,P05231,Q16790,O43927,P10147,P39900,O76036,O00182,P32970,P01127,P35968,P01133,Q9BQ51,P42701,P09237,P07585,P13500,P50591,P09341,Q15389,P26842,P48023,P05113,P29965,P10747,P01730,Q02763,Q01151,P49763,Q14116,O95727,Q9NP84,P48061,Q8WXI7,P43489
R21043068,4.97925,6.57535,3.7599,4.9454,6.56349,2.37739,7.05684,4.79966,6.60127,3.34424,9.37877,10.40676,5.49176,10.8912,5.81714,5.01277,5.37411,9.08053,6.34979,10.39052,2.35574,7.59921,4.02176,10.36747,7.14618,9.84743,1.61905,1.64679,9.69519,3.58919,10.79513,6.25645,9.52201,8.79877,7.50789,4.91451,0.4648,8.24569,0.41076,3.26492,6.85022,2.09287,7.39824,9.16436,5.10522,3.54726,0.79448,1.85677,5.11216
R21043070,4.6551,7.34277,1.8981,4.7277,5.90158,2.09046,7.49132,4.66881,6.70274,2.36712,8.47948,8.41183,4.24374,10.06549,4.77962,2.79467,3.53073,8.31113,4.98727,8.09597,2.88224,7.4223,3.06739,9.25643,7.38011,7.71228,1.67875,1.41599,9.50955,3.23352,10.83436,7.33975,8.11867,7.45302,7.33519,5.22694,0.40127,5.34235,0.2806,2.95859,7.42262,2.23716,6.70917,7.84542,4.5525,3.28092,0.62554,2.74759,5.03872
R21043072,4.09367,6.87628,3.25035,4.86325,6.26192,1.90984,7.86671,4.03176,6.80139,3.24016,8.39423,12.18514,4.83985,10.43421,6.07892,1.8128,3.23077,8.43231,5.59739,6.92932,3.09845,7.36364,2.78031,9.73925,7.25015,9.12633,1.47065,1.78139,5.46344,3.33736,10.51733,7.81436,8.94031,8.29498,7.20578,5.11749,0.44948,6.71454,0.46588,3.26814,7.2028,2.11051,6.93002,7.57837,5.03679,3.42842,0.86576,1.96545,5.62063
R21043074,4.76918,7.04031,2.01218,4.61947,6.36911,1.90815,7.68042,4.22128,6.60443,2.95215,8.41884,8.58511,4.56814,10.20517,5.29372,2.6302,3.23537,7.68616,6.15496,7.9665,3.19465,7.83844,2.99408,9.57695,7.63675,7.67957,1.40799,1.63438,9.07582,3.44835,11.24592,7.92822,8.24169,7.28946,7.61446,6.27114,0.73357,5.84198,0.56983,3.64672,7.13137,2.06166,7.16671,7.76995,4.77514,3.68987,1.07874,1.43034,5.01309
R21043076,4.73788,6.907,3.45363,5.082,6.74678,1.73307,7.80516,4.2787,6.62736,2.48427,8.39672,10.25119,5.17461,10.55331,5.32666,2.67175,3.52836,7.92059,5.15699,10.60609,2.75052,7.19028,3.15527,10.16698,7.0885,10.10447,1.80638,1.01941,9.84484,3.30548,10.48937,7.54342,8.99991,8.73714,7.73855,5.59638,0.9947,7.75541,0.55278,3.24564,7.13239,2.00336,6.86847,7.7746,5.32167,3.84957,1.23156,0.00757,4.77042
R21043078,4.54796,7.10716,1.61735,5.07409,6.45447,2.18284,7.35853,4.07328,6.38143,2.60383,8.35174,7.76281,5.29297,10.12565,5.66258,1.98039,4.46024,8.14329,4.92089,7.59195,3.14183,7.70313,3.4177,9.75627,7.34755,7.41193,2.31532,1.74654,7.8186,3.61396,10.78516,7.41284,7.69856,8.293,7.78846,5.7974,1.61335,4.68334,0.4224,3.39792,7.51772,2.63302,6.9154,7.43912,5.44612,4.02083,0.80188,1.09978,4.92683
R21043080,4.57769,7.05959,2.50815,4.83724,6.62632,2.08522,7.99336,4.13112,6.40308,2.69152,8.06033,9.45464,5.17461,10.67243,5.84836,3.6142,3.10649,8.43297,5.715,7.19357,3.20994,7.77966,2.97392,10.21223,7.32571,8.97022,1.92893,1.69827,9.11129,3.21311,10.26735,7.57448,9.14464,7.73193,7.94477,5.88178,0.50457,6.36233,0.52576,3.86695,6.93492,2.75268,7.00348,7.72713,5.00687,3.59589,0.89471,1.65015,5.16262
R21043082,3.71463,6.80554,3.13258,4.40809,6.06635,1.83236,8.3141,3.74489,6.66157,2.7581,8.24914,9.6326,4.53576,10.25332,5.43966,4.59402,3.87208,7.85519,5.46125,9.70814,3.08096,7.4177,2.83031,10.30983,6.82378,9.58341,1.53529,1.50778,9.40477,2.90404,10.56337,6.41089,8.80713,8.80452,7.35256,4.7229,0.63909,7.16754,0.24399,3.31095,7.00197,2.20223,7.07694,8.29086,4.64564,3.57706,0.93755,1.96499,4.91579
R21043084,2.87648,7.30869,0.5309,4.98788,4.67596,1.56685,7.54228,4.48717,6.65438,2.87168,8.14922,8.31252,3.90139,10.66482,5.86674,0.513,4.44479,9.61538,5.06562,6.83647,2.77358,7.44262,3.4595,8.48377,7.25652,5.58625,1.81012,1.02954,9.0332,3.69688,9.52751,6.98418,6.57428,6.78853,6.95572,4.43978,0.6735,3.23386,0.37626,2.853,7.07396,1.91689,6.92187,7.81442,4.70133,3.86427,0.41266,2.31699,4.21317
R21043086,5.76307,6.92462,2.99571,4.95502,6.3489,1.88673,7.88859,4.99901,6.35543,3.90175,8.52057,10.41007,5.17198,10.69006,5.84979,3.3636,3.86445,9.74212,5.36819,8.71583,3.34951,7.22718,3.26948,10.21876,7.26685,9.47894,1.73705,1.41139,9.77638,3.07886,10.19486,7.78795,9.57262,8.78732,7.69132,5.94241,0.94045,7.3159,2.90205,3.35558,6.96681,2.29886,6.87688,7.76477,5.73921,3.87794,0.77155,3.08612,5.37618
