sample_id,P10144,O75509,P09038,O75144,P12544,P18627,P15692,Q9UQV4,P09382,P22301,P14210,Q92583,P20718,P09601,Q13241,P05231,Q16790,O43927,P10147,P39900,O76036,O00182,P32970,P01127,P35968,P01133,Q9BQ51,P42701,P09237,P07585,P13500,P50591,P09341,Q15389,P26842,P48023,P05113,P29965,P10747,P01730,Q02763,Q01151,P49763,Q14116,O95727,Q9NP84,P48061,Q8WXI7,P43489
R21043156,4.09774,7.45624,2.35102,5.17718,6.42756,2.41438,8.01968,5.02002,6.84441,2.4838,8.27957,9.26346,4.99286,10.01746,5.75,1.31597,5.32113,8.12218,6.1324,7.59393,3.10454,8.11238,3.74056,10.25829,7.13664,9.31208,1.64579,1.67379,10.03129,3.36063,10.43132,7.69946,9.53293,8.70558,7.66172,5.97325,0.55556,6.456,0.85656,3.78133,7.44116,2.7112,7.02868,7.69437,5.62726,3.83175,1.07337,0.32534,5.45042
R21043158,5.47016,6.44978,1.70684,4.39671,6.20742,1.8374,7.84601,3.74556,6.46978,2.14275,8.36628,9.48988,5.19396,10.48971,5.07327,1.85089,3.15684,8.04765,5.77236,6.8904,2.55963,7.45264,2.79812,10.07997,6.85711,8.143,1.21874,1.1859,7.73751,3.12529,10.82066,6.91814,7.50744,8.44771,7.77353,5.31252,0.38344,5.50931,0.75852,3.36663,6.63992,1.8578,6.75786,7.8485,4.52706,3.37053,0.69311,0.63473,4.73764
R21043160,5.21935,7.20293,1.50351,4.73025,6.61257,2.01509,7.72554,4.64881,6.78867,2.62711,8.47833,9.44017,5.4831,10.19426,6.10147,2.27553,3.9495,7.8087,5.78496,7.70686,3.07804,7.96062,2.87895,9.44102,7.53458,7.63195,1.50069,1.57428,8.99642,3.45791,10.68139,7.56771,8.23151,7.17032,7.34892,5.65576,0.8908,5.84343,0.45919,3.13414,7.01828,2.40668,7.21336,8.46304,4.87968,3.86127,0.11258,3.97218,5.1589
R21043162,4.38374,7.0482,1.78676,5.02473,5.87164,1.48673,7.00284,5.17628,6.40328,2.98954,8.71002,9.5172,3.41061,10.19827,4.63541,2.01404,3.26229,7.80494,5.04312,7.54777,2.6338,7.22026,2.79794,8.90197,7.19892,7.03893,1.46131,1.21611,10.33438,3.41979,10.65818,7.74218,7.87749,7.49549,7.0956,5.64039,0.66256,4.73102,0.46258,3.30985,6.8399,2.4287,7.01469,7.84995,4.44733,3.59882,0.95742,0.87576,4.76507
R21043164,4.81505,6.82603,1.23204,4.83756,6.20804,1.78638,7.45313,4.47183,6.46429,2.73166,7.63,9.00454,5.52684,10.22777,5.02909,1.28847,3.25719,7.62903,4.95873,6.351,2.79061,7.62275,3.07643,8.51157,7.64466,7.25931,1.69098,1.23658,7.79256,3.98688,10.24817,7.20321,6.90325,7.17183,6.84845,5.09806,0.04039,4.73518,0.21657,3.35547,6.75303,2.14363,6.86108,7.93658,4.61014,3.88884,0.70048,2.13318,4.75499
R21043166,4.34326,6.70853,3.15603,4.47944,6.40641,1.37512,8.14282,4.30018,6.82631,2.73537,8.89848,9.48334,4.8225,10.06169,5.35688,3.59927,2.9572,12.49684,5.05766,8.34317,2.55266,7.29885,2.40917,10.60121,7.45068,9.71368,1.76975,1.47318,9.95323,3.072,10.45303,6.93587,9.99381,8.90056,7.32658,4.59359,0.90477,7.40292,0.49542,3.43601,7.03385,1.87214,7.08668,8.67789,4.61306,3.47533,1.13671,0.45245,5.08627
R21043170,9.07169,7.36396,2.30669,5.20296,6.90617,2.30733,8.12759,5.03463,6.48169,2.21621,8.98627,9.65518,8.40452,10.49791,6.23804,1.99917,3.41843,8.38555,5.89748,7.99482,2.95796,7.94478,2.59867,10.36896,7.29147,9.0439,1.67496,1.86469,9.16187,3.22439,11.53181,7.44206,8.24048,9.14352,8.2421,6.44907,0.8582,6.40271,0.78119,3.26526,7.14986,2.84524,7.33039,9.73114,5.27766,3.93294,1.00023,3.52901,5.43429
R21043172,4.05904,7.34436,2.4527,4.97755,6.46131,1.83715,7.84173,3.59703,6.64368,2.35864,8.24062,9.80258,4.46134,9.26789,5.0906,1.22841,4.48937,7.83581,5.53294,8.03712,2.93247,7.42232,3.46572,9.75612,7.38428,8.30104,1.71261,1.47333,9.97732,3.68629,10.53492,7.61679,8.787,7.95712,8.34943,5.10998,0.36351,6.20439,0.3253,3.66712,7.13091,2.31577,7.46298,7.23821,4.86094,4.1733,0.72926,0.42903,5.08808
R21043173,5.17777,7.28926,1.95871,5.03441,6.65192,1.69951,7.83871,4.42093,6.57227,2.70721,8.16604,9.34071,5.62608,9.72488,5.28841,2.93949,3.9997,7.78697,6.19851,9.86761,2.68783,7.62432,2.75694,10.23856,7.66266,9.10535,1.50642,1.39996,9.80706,3.15435,10.999,7.569,9.27317,8.73742,7.46406,5.40029,1.55584,6.60891,1.17427,3.44711,7.30114,2.10295,6.99952,8.25808,5.43109,3.40068,0.93669,0.29207,5.16004
R21043174,4.15941,7.06329,0.88671,4.85611,5.75691,2.04461,7.58532,4.00137,6.09171,2.32109,8.13067,8.45909,3.89538,10.59996,4.94757,2.11731,3.61619,7.41891,5.39094,8.07384,2.89158,7.03982,1.83988,9.79816,7.69092,7.2186,2.01895,1.41668,9.51984,3.18958,10.90707,7.33031,6.98311,8.47625,7.64257,5.40693,0.71896,4.92805,0.31427,3.28566,7.36106,2.62188,6.97959,7.57841,4.69955,3.49884,1.10557,1.07247,4.85654
R21043175,5.33936,6.61058,2.27722,4.67523,6.48894,1.6958,8.17765,3.43147,6.54227,2.79505,8.68895,10.08037,5.82785,9.34853,5.88054,3.54703,3.89432,8.03703,6.4734,8.71832,2.5166,7.76427,3.01966,10.53472,7.25947,10.43616,1.38137,1.35007,7.49296,3.09953,10.30194,7.21145,8.9064,9.64848,7.64425,4.98328,-0.37304,7.63426,0.41637,3.72035,6.98691,2.06906,6.81327,8.57584,5.25117,3.51808,0.66672,1.35372,4.74313
R21043176,5.22624,6.88161,2.52195,4.63305,5.97077,1.86329,7.76146,6.32263,6.70627,2.5927,8.80102,9.5892,4.94916,10.32242,5.10052,2.11429,3.66046,7.48448,5.26234,6.63943,3.35636,7.81112,3.12017,9.90114,7.35278,7.74354,1.59157,1.55903,4.91705,3.40048,10.54771,7.19081,8.53792,7.75238,7.37857,5.54118,0.91734,5.95024,0.3461,3.6261,7.0624,2.20673,7.01143,8.69344,4.27731,3.61661,0.64722,1.15376,5.07819
R21043177,4.61392,7.80295,3.15509,5.28415,6.32976,2.02231,9.29028,6.35282,7.05578,3.47555,8.65619,10.9421,5.70855,10.91539,6.75752,4.37334,4.34725,7.78838,6.89438,8.84153,4.64204,8.31889,3.40926,9.64742,7.36937,8.70746,2.51382,2.51027,10.64423,3.67363,11.04423,7.54573,9.76711,8.78978,8.62599,5.33197,0.50389,6.81267,0.79236,4.24964,7.17133,3.53958,8.36601,9.4965,5.91129,4.90559,0.77415,2.88232,6.65992
R21043178,4.86828,6.76154,3.19035,4.35273,6.60348,2.32552,9.32096,4.76745,6.46699,3.1087,9.11038,9.56671,6.1806,10.04252,6.22335,5.8235,5.75721,9.37488,5.92772,7.26882,2.78525,7.74275,3.52596,10.18155,6.84811,9.59891,1.8395,1.86167,9.32399,3.69738,10.87423,6.67617,8.81861,8.94385,8.02171,4.64428,0.80773,6.8423,0.49561,3.67371,7.04709,1.89686,8.20994,8.34055,5.39604,3.83701,1.09604,5.14368,4.75567
R21043179,4.95046,6.69496,2.2363,4.91197,6.30128,1.94918,7.70625,3.87283,6.50534,2.75546,8.29392,10.83578,5.38208,10.79278,5.72099,1.80181,4.08963,7.6596,5.64063,7.80462,2.71114,6.81975,3.19171,9.56074,7.20049,8.71274,1.53887,0.89806,9.3985,3.20989,10.77275,7.6651,8.35542,8.13874,7.15846,5.15521,0.00493,6.11036,0.35516,2.87355,6.86099,1.90838,7.13586,8.14587,4.54326,3.35232,0.67918,0.57856,4.81461
R21043180,4.96087,6.98264,2.63242,5.00245,5.1235,1.98049,8.36831,4.64998,6.34898,2.30021,8.39822,10.61163,4.64158,10.17694,5.3052,2.94517,2.74002,7.52698,5.34754,9.23758,2.94889,7.4827,2.57179,10.49094,7.38963,10.11523,1.68227,2.34694,10.13877,3.47269,10.98819,7.35137,9.70876,9.20843,7.22422,5.39707,0.40395,7.84274,0.54627,3.47722,7.04368,2.35487,7.27231,7.81086,4.6435,3.71391,0.93078,2.42622,4.66743
R21043181,4.22782,6.96839,3.79256,4.81263,6.13097,1.86262,8.67077,5.43723,7.01022,3.25237,9.0776,9.76156,4.56284,9.56221,5.76116,5.48278,2.76241,12.23054,5.90071,7.729,3.00443,7.50432,3.26306,9.99014,7.5632,9.36554,2.19237,1.66993,9.48373,3.23805,10.44594,6.16275,8.88425,8.31047,8.10875,4.70103,-0.12674,7.37071,0.49678,4.01151,7.44181,2.27666,7.50951,8.54576,5.4157,3.46894,0.90733,3.57159,5.544
R21043182,4.39564,7.1418,2.33091,5.12096,6.6536,2.5454,7.10995,3.79495,6.52616,2.44888,7.89276,9.18792,5.03098,10.16516,5.9871,1.06742,4.24213,7.81764,5.24921,5.73412,2.0561,7.45965,2.56601,9.44652,7.54043,7.88271,1.68792,1.43428,4.45168,3.34976,11.00862,7.77126,8.13632,7.56557,7.18969,6.03198,0.4028,5.49712,1.54068,3.50172,7.20604,2.42546,6.65444,8.04427,5.32463,3.22663,1.02345,1.86812,4.63336
R21043183,4.38925,7.03331,1.40918,4.76479,6.05628,1.79345,7.17241,4.22437,6.49282,2.18737,8.11707,8.04908,4.36126,10.77666,5.24964,1.27018,4.35001,7.67527,5.33391,6.26381,2.38483,7.33513,3.19121,8.92093,6.82974,7.09972,1.4382,1.33526,9.90135,4.05804,10.63526,7.26978,6.63737,7.283,7.47103,5.11042,3.96666,4.10713,0.37263,3.28643,7.41664,2.33537,6.84675,8.21983,5.54684,3.91773,0.55998,-0.16165,4.57043
R21043184,5.04773,6.82034,1.96392,4.79323,6.41899,2.17341,7.54786,4.99511,6.81785,2.75643,8.96477,8.99366,5.19373,9.7286,5.26431,2.96824,3.11251,10.39587,5.75385,7.76213,2.87069,7.45302,3.66484,10.29861,7.1178,10.07937,1.56949,1.46562,9.41286,3.42571,10.96295,7.36071,9.30781,9.14384,8.13492,5.12265,0.95342,7.76836,0.66279,3.46629,6.72281,2.59153,7.13175,7.6075,4.85748,3.45232,1.1619,0.27183,5.34525
R21043185,4.55057,7.6425,2.05947,5.05697,6.04143,1.8753,7.88227,5.06311,6.68293,3.35026,9.37977,8.76334,4.31471,9.62342,4.85245,3.23951,4.66092,8.21066,6.24228,9.64503,3.15424,8.4558,2.66868,9.76854,7.30952,8.32874,1.86486,0.96106,10.7062,3.72052,11.50352,7.09779,8.76074,8.21953,7.90317,5.15929,0.46893,6.25393,0.64398,3.42359,7.50408,2.62479,7.62728,7.30733,3.8028,4.38825,0.67679,0.9214,5.94133
R21043186,5.86665,7.03727,3.13467,5.03347,6.30237,1.8163,7.29517,4.22554,6.59904,2.39511,8.8189,9.74565,5.43912,10.832,5.39646,2.17257,4.08325,7.83487,5.79284,6.12016,3.18901,7.63131,2.91408,10.49745,7.50915,10.14153,1.38142,1.2057,7.02187,3.45225,10.86564,7.65184,9.25535,9.49255,7.16664,6.236,1.23287,7.32394,0.55709,2.97634,7.26128,2.20151,6.84476,9.99017,4.80068,3.53034,0.68712,0.33094,4.8848
R21043187,5.24449,7.06904,3.39567,4.61529,6.41697,1.92861,9.46932,4.99992,6.86798,2.97702,8.56302,12.01858,5.98184,9.81053,6.06063,3.86428,3.02421,8.50325,6.2774,8.80791,3.32061,7.43412,3.14238,10.34776,7.30391,10.03524,1.70734,1.72558,8.35068,3.09963,10.83635,7.00668,9.96809,9.74678,7.81586,5.42713,0.48633,7.93767,0.40909,3.20748,7.12054,2.57633,7.15411,8.33919,4.95286,3.96636,1.244,3.86216,5.65134
R21043188,5.31541,6.62299,3.08582,4.48705,7.01636,2.72397,7.90127,4.20544,6.32634,2.37088,8.97609,8.979,5.87318,9.82416,6.91044,3.37493,7.9041,8.34297,5.20791,10.63437,2.856,7.28273,3.09664,10.26017,7.47867,8.98817,1.62445,1.50685,9.33791,3.26568,10.23384,7.40439,9.05431,8.09778,7.25517,5.79264,0.71094,7.41001,0.69171,3.35576,7.31604,2.16691,6.83015,8.53326,5.36559,3.8101,0.9398,-0.05331,4.96338
R21043189,4.03573,6.83281,1.54586,4.74208,5.48155,1.73166,7.6533,4.58857,6.60694,2.37599,8.43856,9.08863,3.99873,10.36385,4.75981,3.46074,3.16668,8.75109,5.19399,9.61662,2.65,7.5109,2.41674,9.59844,7.69804,7.7067,1.65088,1.23966,8.63205,3.20828,10.28172,7.20386,6.88888,7.55051,7.24313,5.47655,0.0327,4.77267,0.59284,3.78501,6.97665,2.2342,6.84149,8.33479,4.2542,3.52254,0.86011,0.4734,4.62118
R21043190,6.36672,7.08944,3.24802,4.975,6.55408,2.14895,7.60122,4.67061,6.6454,2.75545,8.44665,10.2901,7.21922,10.01148,5.56452,2.78333,3.41655,7.60711,6.05191,8.4241,2.81091,7.58655,3.2826,10.01655,7.38502,9.01016,1.61053,1.14039,8.81834,3.60549,10.00688,7.02346,9.81759,8.63523,7.57148,5.10748,0.95719,7.40513,0.55233,3.25674,6.9583,2.18414,6.89408,8.24854,5.44618,3.50709,0.78169,0.28168,4.85953
R21043191,5.2723,7.34364,1.53213,5.1043,5.79603,1.91262,7.73273,3.8063,6.279,2.76735,8.29642,8.45175,4.43464,9.97096,4.27538,1.23921,4.32606,7.03135,5.85493,7.33789,3.4264,7.14332,2.5847,10.40723,7.13295,8.58966,1.47414,0.82368,8.01027,3.75747,11.2788,7.40745,6.26223,9.37883,7.52141,5.63418,0.57294,6.99498,0.39302,2.88654,7.31255,2.16836,6.70943,8.54512,4.0602,3.569,0.7011,-0.03886,5.28072
R21043192,4.4014,7.07452,3.09045,4.87152,6.43759,1.97884,8.16847,6.07705,6.65339,2.73121,9.13332,10.44584,4.86575,11.2995,4.59005,2.7911,3.54955,7.5656,5.70975,7.82999,3.07831,7.84631,2.84351,10.2451,7.64682,8.98579,1.78388,1.92786,9.34278,3.40153,10.62265,7.48615,9.19231,8.37097,7.71429,5.42713,1.69003,6.99395,0.61718,3.63644,7.3167,2.90811,6.94273,8.49963,4.67123,4.18032,0.88691,0.89108,5.43458
R21043193,4.99235,7.36889,3.3969,5.09553,6.34619,2.27161,8.78233,4.13362,6.82572,2.24478,8.69204,8.96942,5.19388,9.81851,5.78497,5.63258,4.11647,9.97241,6.37163,6.06217,3.28581,7.53156,3.02643,10.30101,7.54495,9.62815,2.27846,1.95372,8.87889,3.45818,11.01812,6.55488,9.48106,8.91116,8.21341,5.06712,0.6506,7.64532,0.60966,3.84509,7.64777,2.8411,7.63099,8.20741,5.69953,3.83391,0.85339,1.81848,5.85602
